鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街１３７號十樓,41.39,住,,,1100120,土地1建物1車位2,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120809,200.34,4,2,2,有,有,12800000,64767,坡道平面,53.66,3300000,預售屋、或土地及建物分件登記案件；,RPUQMLOJIIIGFDC97DA,82.01,6.75,8.99,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街１３３號四樓,36.15,住,,,1091201,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120809,156.26,3,2,2,有,有,9950000,64514,坡道平面,26.83,1600000,預售屋、或土地及建物分件登記案件；,RPQOMLOJIIIGFDC37DA,71.14,6.21,8.92,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街１３９號四樓,36.15,住,,,1091218,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120809,156.20999999999998,3,2,2,有,有,9340000,59824,坡道平面,26.83,1600000,預售屋、或土地及建物分件登記案件；,RPXQMLOJIIIGFDC28DA,71.14,6.21,8.87,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街１４７號五樓,35.56,住,,,1091216,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120809,154.3,3,2,2,有,有,9590000,63466,坡道平面,26.83,1500000,預售屋、或土地及建物分件登記案件；,RPPUMLMJIIIGFDC67DA,71.57,6.92,6.45,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街１３９號六樓,36.15,住,,,1091201,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120809,156.20999999999998,3,2,2,有,有,9150000,58355,坡道平面,26.83,1600000,預售屋、或土地及建物分件登記案件；,RPPRMLOJIIIGFDC57DA,71.14,6.21,8.87,有,
信義區,房地(土地+建物)+車位,基隆市信義區褔民街９０號三樓,54.69,住,,,1091115,土地1建物1車位1,三層，四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120502,201.68,3,2,3,有,有,9100000,49159,坡道平面,36.92,1000000,,RPPOMLKMOHIGFDC67DA,108.06,0.0,13.02,有,
信義區,房地(土地+建物)+車位,基隆市信義區東峰街６３號,54.69,住,,,1091105,土地1建物1車位1,一層，二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120502,201.16,3,2,3,有,有,12000000,64840,坡道平面,36.92,1350000,,RPORMLSJPHIGFDC48DA,107.8,0.0,12.77,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區泰安路１之１２號２樓,25.83,住,,,1091116,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120602,121.99000000000001,2,2,1,有,有,6300000,56818,坡道機械,29.59,1050000,1含地下一層機車位一位2買賣私契由賣方提供地政士僅受託登記含裝潢費200000元；預售屋、或土地及建物分件登記案件；,RPXSMLNJRHIGFDC56DA,56.5,0.0,3.22,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區泰安路１之１２號,24.48,住,,,1091125,土地1建物1車位1,一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120602,117.39,2,2,1,有,有,7450000,72893,坡道機械,29.59,1050000,1含地下一層機車位一位2買賣私契由賣方提供地政士僅受託登記預售屋、或土地及建物分件登記案件；,RPOQMLOKRHIGFDC28DA,56.6,0.0,0.0,有,
七堵區,房地(土地+建物),基隆市七堵區堵南街１５１號六樓,26.82,住,,,1091113,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120809,97.27000000000001,2,2,1,有,有,6080000,62506,,0.0,0,預售屋、或土地及建物分件登記案件；,RPOTMLMJIIIGFDC47DA,51.54,6.71,6.59,有,
信義區,房地(土地+建物)+車位,基隆市信義區東峰街５９號三樓,54.69,住,,,1091015,土地1建物1車位1,三層，四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120502,200.82999999999998,3,2,3,有,有,9100000,49414,坡道平面,36.92,1000000,,RPUQMLSJPHIGFDC98DA,107.35,0.0,12.89,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區泰安路１之１０號１０樓,38.02,住,,,1091026,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120602,163.49,3,2,2,有,有,10300000,65721,坡道平面,29.59,1500000,1含地下一層機車位一位2買賣私契由賣方提供地政士僅受託登記預售屋、或土地及建物分件登記案件；,RPSSMLNJRHIGFDC68DA,79.46,0.0,8.27,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區泰安路１之１２號１１樓,25.83,住,,,1091005,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120602,121.99000000000001,2,2,1,有,有,6920000,63528,坡道機械,29.59,1050000,1含地下一層機車位一位2買賣私契由賣方提供地政士僅受託登記含裝潢費200000元；預售屋、或土地及建物分件登記案件；,RPRTMLNJRHIGFDC68DA,56.5,0.0,3.22,有,
