鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
中正區,建物,臺北市中正區延平南路１６０之６號,0.0,商,,,1120721,土地0建物0車位0,三層,4,套房(1房1廳1衛),,鋼筋混凝土造,0560407,26.24,1,0,1,有,無,有,13600,518,,0.0,0,此為分租套房，第三層共分成3間，一間面積約為26.24平方公尺。電費及每月垃圾費650元、水費250元皆為承租人負擔。,RPPOMLLKQHIGFBA47CC,,,,,,
大同區,建物,臺北市大同區延平北路三段１９之５號,0.0,住,,,1120721,土地0建物0車位0,三層,4,套房(1房1廳1衛),,加強磚造,,20.04,1,0,1,有,無,有,10000,499,,0.0,0,此為分租套房，第三層共分成4間，一間面積約為20.04平方公尺。電費及每月水費250元、垃圾費650元皆由承租人負擔。,RPQOMLLKQHIGFBA57CC,,,,,,
中正區,車位,臺北市中正區忠孝東路一段４５號 機械車位NO.６４,0.0,商,,,1120804,土地0建物0車位1,,,其他,,,,26.42,0,0,0,有,有,有,2800,,升降機械,0.0,2800,,RPROMLLKQHIGFBA67CC,,,,,,
萬華區,建物,臺北市萬華區西園路二段２８１巷１０之１號二樓,0.0,住,,,1120721,土地0建物0車位0,二層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850718,40.01,1,0,1,有,無,有,13900,347,,0.0,0,此為分租套房，第 2 層共分成 2 間，一間面積約為 40.01 平方公尺。 電費及每月水費250元、垃圾費650元由承租人負擔。,RPSOMLLKQHIGFBA77CC,,,,,,
大同區,建物,臺北市大同區南京西路６８號六樓之３,0.0,商,,,1120727,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951115,79.86,2,1,1,有,有,有,37000,463,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPTOMLLKQHIGFBA87CC,,,,,,
萬華區,建物,臺北市萬華區青年路１０６巷３０弄２６號,0.0,住,,,1120802,土地0建物1車位0,一層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0640403,36.4,1,1,1,有,無,有,13000,357,,0.0,0,國家住宅及都市更新中心辦理社會住宅包租代管計畫。水電費、瓦斯費由承租人負擔。,RPUOMLLKQHIGFBA97CC,,,,,,
大同區,建物,臺北市大同區市民大道一段２０７號十五樓之１４,0.0,其他,,,1120719,土地0建物1車位0,十五層,18,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0980724,47.21,1,1,1,有,有,有,30000,635,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPVOMLLKQHIGFBA08CC,,,,,,
大同區,建物,臺北市大同區萬全街１號五樓之２,0.0,商,,,1120726,土地0建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,84.48,1,1,1,有,有,有,60000,710,,0.0,0,含管理費、稅金或水電等費用。；,RPWOMLLKQHIGFBA18CC,,,,,,
中山區,建物,臺北市中山區建國北路二段９之２號八樓之９,0.0,住,,,1120720,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950713,72.49,1,1,1,有,有,有,47000,648,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPQNMLLKQHIGFCA57CC,,,,,,
中山區,建物,臺北市中山區松江路１６巷１５號三樓,0.0,住,,,1120726,土地0建物0車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0560904,45.42,2,1,1,有,無,有,24000,528,,0.0,0,第三層共分成2間，此間為2房，面積約為45.42平方公尺。電費及每月水費250元、垃圾費950元皆由承租人負擔。,RPUNMLLKQHIGFCA97CC,,,,,,
