鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路２２７號４樓之２,12.17,住,,,1121015,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041125,66.08,2,1,1,有,有,4500000,68099,,0.0,0,夾層；,RPPNMLQKIIIGFAW56DA,36.64,0.0,4.65,有,039
金沙鎮,土地,北九劃段1353地號,1000.0,農,,,1121031,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5550000,5550,,0.0,0,,RPUNMLLMIIIGFAW76DA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉下堡１００之９號三樓,52.53,都市：其他:自然村專用區,,,1121009,土地1建物1車位1,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1021120,147.51,3,2,2,有,有,8100000,54912,坡道平面,26.94,0,,RPRNMLQKJIIGFAW86DA,86.02,0.0,8.18,無,040
金城鎮,房地(土地+建物),金門縣金城鎮民族路１８０巷３弄５之１號,26.05,住,,,1121017,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120724,83.31,2,1,2,有,無,7800000,93626,,0.0,0,土地5070000 元、建物2730000元。,RPQNMLRKJIIGFAW86DA,62.23,0.0,0.0,有,
金城鎮,房地(土地+建物),金門縣金城鎮民族路１８０巷３弄５之１號三樓,26.05,住,,,1121017,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120724,90.51,2,1,2,有,無,7500000,82864,,0.0,0,土地4875000元、建物2625000元。,RPRNMLRKJIIGFAW96DA,62.23,0.0,7.2,有,
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮市港一路２５６號三樓,23.0,都市：其他:自然村專用區,,,1121016,土地1建物1車位1,三層,三層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040429,94.55,3,1,2,有,有,5600000,59228,坡道平面,39.78,0,,RPPNMLQLIIIGFAW66DA,36.0,1.82,3.41,有,041
金城鎮,房地(土地+建物),金門縣金城鎮金門城８８之５號三樓,65.72,都市：其他:自然村專用區,,,1121019,土地1建物2車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1030314,84.13,3,1,2,有,無,4530000,53845,,0.0,0,,RPPNMLQKJIIGFAW76EA,65.93,0.0,7.26,無,
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅新村８２８號一樓之２,62.7,都市：其他:自然村專用區,,,1121002,土地2建物1車位0,一層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100708,134.93,3,2,2,有,有,7050000,52249,,0.0,0,,RPRNMLLKIIIGFAW88DA,111.56,0.0,3.88,有,042
烈嶼鄉,土地,陵水湖測段357地號,434.08,都市：其他:國家公園區,,,1121030,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1520000,3502,,0.0,0,,RPRNMLNJJIIGFAW09DA,0.0,0.0,0.0,無,043
金湖鎮,房地(土地+建物),金門縣金湖鎮士校路６０３號,117.54,都市：其他:自然村專用區,,,1121030,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020304,211.28,5,2,5,有,無,12300000,58217,,0.0,0,,RPPNMLLLJIIGFAW88DA,205.51,0.0,5.77,無,
