鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,18.62,住,,,1120822,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,100.78,2,2,1,有,無,7750000,81773,坡道機械,16.4,850000,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,RPRNMLTLQHIGFDN27CB,昌祐時代,F棟03F號,
員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,25.85,住,,,1120815,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,143.61,3,2,2,有,無,11730000,87586,坡道平面,26.81,1500000,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,RPSNMLTLQHIGFDN37CB,昌祐時代,B棟06F號,
員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,18.62,住,,,1120826,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,111.15,2,2,1,有,無,9120000,92127,坡道平面,26.81,1350000,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,RPTNMLTLQHIGFDN47CB,昌祐時代,C棟13F號,
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮湖南段323地號,30.65,住,,,1120822,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,56.52,2,1,1,有,無,5680000,100495,,0.0,0,,RPPNMLTLQHIGFHN47CB,首億寬寓,B棟4號,
大村鄉,房地(土地+建物),彰化縣大村鄉田洋巷11號附近,146.4,住,,,1120815,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,162.36,4,3,3,有,無,11000000,67751,,0.0,0,,RPPNMLTLQHIGFDN17DB,琢白逸境,A1號,
大村鄉,房地(土地+建物),彰化縣大村鄉茄苳路一段,98.37,農,,,1120822,土地13建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,144.67,4,2,4,有,無,11300000,78109,,0.0,0,270-31~270-64地號共 426  萬元；274、274-2地號共26   萬元,RPQNMLTLQHIGFDN27DB,大村A2,D棟8號,
大村鄉,房地(土地+建物),彰化縣大村鄉茄苳路一段,106.89,農,,,1120826,土地13建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,174.05,4,2,4,有,無,13280000,76300,,0.0,0,270-31~270-64地號共511萬元；274、274-2地號共  20 萬元,RPRNMLTLQHIGFDN37DB,大村A2,E棟1號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市中正路二段190巷,1.34,商,,,1120818,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.19,3,2,2,有,無,15600000,103169,坡道平面,31.49,1600000,,RPPNMLKMQHIGFAN58CB,中正琢越,B-6F號,
和美鎮,房地(土地+建物),彰化縣和美鎮平原路,36.78,住,,,1120815,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.1,3,2,2,有,無,10300000,95282,,0.0,0,,RPQNMLKMQHIGFBN78CB,卡里善二期,C棟4A號,
員林市,房地(土地+建物),彰化縣員林市復興路59巷2弄11號對面,25.44,住,,,1120814,土地2建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.79,2,2,2,有,無,7280000,87933,,0.0,0,,RPPNMLKMQHIGFDN88CB,鼎聖大樓,4C號,
