鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,15.8,住,,,1120930,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.12,2,2,2,有,無,11620000,111264,坡道平面,21.67,1890000,,RPOOMLOJIIIGFCD17CB,研森,E棟7號,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,15.8,住,,,1120930,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.12,2,2,2,有,無,11930000,111835,坡道平面,21.67,2150000,,RPPOMLOJIIIGFCD27CB,研森,E棟7號,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,21.32,住,,,1120930,土地1建物1車位2,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.93,3,2,2,有,無,17430000,116391,坡道平面,43.34,3860000,,RPQOMLOJIIIGFCD37CB,研森,F棟1號,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,15.8,住,,,1120930,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.12,2,2,2,有,無,11500000,109663,坡道平面,21.67,1910000,,RPROMLOJIIIGFCD47CB,研森,F棟7號,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,15.8,住,,,1120930,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.12,2,2,2,有,無,11730000,110921,坡道平面,21.67,2030000,,RPSOMLOJIIIGFCD57CB,研森,E棟6號,
佳里區,房地(土地+建物)+車位,臺南市佳里區文化路636號對面,35.65,住,,,1120917,土地3建物1車位1,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,123.5,3,2,2,有,無,7300000,60976,一樓平面,21.0,1050000,,RPPNMLOJIIIGFGD57CB,大京藏五期,A棟2號,
佳里區,房地(土地+建物)+車位,臺南市佳里區文化路636號對面,36.69,住,,,1120918,土地3建物1車位1,七層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,125.8,3,2,2,有,無,7500000,61069,一樓平面,21.0,1100000,,RPQNMLOJIIIGFGD67CB,大京藏五期,D棟3號,
安定區,房地(土地+建物)+車位,臺南市安定區港口1-25號旁,32.54,,特定農業區,甲種建築用地,1120920,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.86,3,2,2,有,無,12000000,91739,坡道平面,27.77,1350000,,RPPNMLOJIIIGFHD67CB,日初莊園-晨曦,B5棟7F號,
安定區,房地(土地+建物)+車位,臺南市安定區港口1-25號旁,34.1,,特定農業區,甲種建築用地,1120925,土地2建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.04,3,2,2,有,無,12050000,95247,一樓平面,13.7,1350000,,RPQNMLOJIIIGFHD77CB,日初莊園-朝露,A6-2棟2F號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路,23.6,住,,,1120912,土地5建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.78,3,2,2,有,無,14680000,107493,坡道平面,32.54,1540000,,RPPNMLOJIIIGFID77CB,宗大青田,A棟1號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路,21.52,住,,,1120912,土地5建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.67,3,2,2,有,無,13500000,106662,坡道平面,32.54,1540000,,RPQNMLOJIIIGFID87CB,宗大青田,A棟3號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路,21.52,住,,,1120912,土地5建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.67,3,2,2,有,無,13930000,110497,坡道平面,32.54,1540000,,RPRNMLOJIIIGFID97CB,宗大青田,A棟3號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路,21.52,住,,,1120915,土地5建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.67,3,2,2,有,無,13980000,111478,坡道平面,32.54,1480000,,RPSNMLOJIIIGFID08CB,宗大青田,A棟3號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路,21.52,住,,,1120915,土地5建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.67,3,2,2,有,無,14220000,113083,坡道平面,32.54,1540000,,RPTNMLOJIIIGFID18CB,宗大青田,A棟3號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路,21.52,住,,,1120912,土地5建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.67,3,2,2,有,無,14220000,113083,坡道平面,32.54,1540000,,RPUNMLOJIIIGFID28CB,宗大青田,A棟3號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路,21.52,住,,,1120915,土地5建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.67,3,2,2,有,無,13960000,111299,坡道平面,32.54,1480000,,RPVNMLOJIIIGFID38CB,宗大青田,A棟5號,
