鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
汐止區,房地(土地+建物)+車位,新北市汐止區保長路,79.06,工,,,1120906,土地1建物1車位3,六層,9,工廠,見其他登記事項,鋼筋混凝土造,,413.42,0,0,0,無,無,35000000,,坡道平面,72.84,4800000,,RPRNMLPKRHIGFDF68CB,東煒大局,A棟9號,
三芝區,房地(土地+建物),新北市三芝區忠孝街,101.8,住,,,1120828,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,172.88,4,2,4,有,無,11870000,68660,,0.0,0,,RPPNMLPKRHIGFEF58CB,山之花墅B區,B棟2號,
淡水區,房地(土地+建物)+車位,新北市淡水區竹林路,39.79,住,,,1120825,土地22建物1車位1,十一層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.88,3,2,2,有,無,17200000,127690,坡道平面,31.45,1950000,含休閒會館之土地持分面積為0.04平方公尺，建物持分面積為2.65平方公尺。,RPQNMLPKRHIGFEF68CB,森原樹·樹之森,B棟1-11F號,
淡水區,房地(土地+建物)+車位,新北市淡水區竹林路,39.05,住,,,1120823,土地22建物1車位1,六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.66,3,2,2,有,無,16550000,125416,坡道平面,31.45,1850000,含休閒會館之土地持分面積為0.04平方公尺，建物持分面積為2.60平方公尺。,RPRNMLPKRHIGFEF78CB,森原樹·樹之森,B棟5-6F號,
淡水區,房地(土地+建物)+車位,新北市淡水區竹林路,29.4,住,,,1120823,土地22建物1車位1,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.71,2,2,2,有,無,14980000,148765,坡道平面,31.45,1850000,含休閒會館之土地持分面積為0.04平方公尺，建物持分面積為1.96平方公尺。,RPSNMLPKRHIGFEF88CB,森原樹·樹之森,B棟9-8F號,
淡水區,房地(土地+建物)+車位,新北市淡水區竹林路,49.44,住,,,1120827,土地14建物1車位1,四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.21,3,2,2,有,無,20230000,126014,坡道平面,24.75,1900000,含休閒會館之土地持分面積為0.06平方公尺，建物持分面積為3.3平方公尺。,RPTNMLPKRHIGFEF98CB,森原樹．樹之泉,C棟C1-4F號,
淡水區,房地(土地+建物)+車位,新北市淡水區竹林路,49.36,住,,,1120829,土地14建物1車位1,三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.99,3,2,2,有,無,20430000,127582,坡道平面,24.75,1900000,含休閒會館之土地持分面積為0.05平方公尺，建物持分面積為3.29平方公尺。,RPUNMLPKRHIGFEF09CB,森原樹．樹之泉,C棟C5-3F號,
淡水區,房地(土地+建物)+車位,新北市淡水區竹林路,49.44,住,,,1120911,土地14建物1車位1,十七層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.21,3,2,2,有,無,21000000,131995,坡道平面,24.75,1800000,休閒會館之土地持分面積為0.06平方公尺、建物持分面積為3.3平方公尺。,RPVNMLPKRHIGFEF56CB,森原樹．樹之泉,C棟C1-17F號,
淡水區,房地(土地+建物)+車位,新北市淡水區竹林路,64.4,住,,,1120828,土地14建物1車位1,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,214.24,4,2,2,有,無,28500000,140113,坡道平面,24.75,1950000,休閒會館之土地持分面積為0.07平方公尺、建物持分面積為4.30平方公尺。,RPWNMLPKRHIGFEF66CB,森原樹．樹之泉,C棟C10-13F號,
淡水區,房地(土地+建物)+車位,新北市淡水區竹林路,47.41,住,,,1120825,土地16建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,159.89,3,2,2,有,無,18590000,129145,坡道平面,31.43,2000000,含休閒會館之土地持分面積為0.06平方公尺，建物持分面積為2.86平方公尺。,RPXNMLPKRHIGFEF76CB,森原樹·樹之岩,F棟F5-4F號,
