鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
長治鄉,房地(土地+建物),屏東縣長治鄉中興路65號,112.82,住,,,1120830,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,145.07,5,2,4,有,無,13850000,95471,,0.0,0,,RPRNMLQJRHIGFAT17CB,陶里,B棟3號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市公正四街,20.2,住,,,1120819,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.93,2,2,1,有,無,7880000,81902,坡道平面,29.59,1300000,,RPSNMLQJRHIGFAT27CB,閱山,2棟A2-3F號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市公正四街,20.2,住,,,1120828,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.93,2,2,1,有,無,8280000,86881,坡道平面,29.59,1300000,,RPTNMLQJRHIGFAT37CB,閱山,2棟B2-5F號,
麟洛鄉,房地(土地+建物),屏東縣麟洛鄉成功路,22.65,住,,,1120812,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.79,2,2,2,有,無,4980000,69369,,0.0,0,,RPUNMLQJRHIGFAT47CB,磬揚安安,A棟2號,
麟洛鄉,房地(土地+建物)+車位,屏東縣麟洛鄉成功路,25.71,住,,,1120811,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.21,2,2,2,有,無,6650000,66830,一樓平面,12.66,1200000,,RPVNMLQJRHIGFAT57CB,磬揚安安,A棟5號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市幸福街,32.8,,鄉村區,乙種建築用地,1120817,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.5,3,2,2,有,無,7420000,64961,一樓平面,13.75,1200000,,RPXNMLQJRHIGFAT77CB,景湛,B棟3號,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉光明路292巷,28.45,住,,,1120902,土地2建物1車位1,七層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,102.98,3,2,2,有,無,7200000,64635,升降機械,5.51,900000,,RPPNMLQJRHIGFCT17CB,皇家欣天地3期 森鄰,D棟3號,
麟洛鄉,房地(土地+建物)+車位,屏東縣麟洛鄉國小巷,55.35,住,,,1120818,土地3建物1車位1,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,138.36,4,2,4,有,無,9580000,69240,一樓平面,13.75,0,,RPPNMLRJRHIGFAT07CB,名漾,B棟8號,
屏東市,房地(土地+建物),屏東縣屏東市大成路,295.94,,一般農業區,丁種建築用地,1120817,土地6建物1車位0,一層,1,工廠,見其他登記事項,見其他登記事項,,161.59,1,0,2,有,無,14323680,,,0.0,0,,RPRNMLRJRHIGFAT27CB,大成工業城,A2棟09號,
麟洛鄉,房地(土地+建物)+車位,屏東縣麟洛鄉國小巷,55.35,住,,,1120825,土地3建物1車位1,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,138.36,4,2,4,有,無,9600000,69384,一樓平面,13.75,0,,RPTNMLRJRHIGFAT47CB,名漾,B棟10號,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉勝利路,50.57,住,,,1120825,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.79,3,2,2,有,無,7380000,61608,一樓平面,0.0,0,,RPPNMLRJRHIGFCT27CB,和昌樂居,B棟2號,
竹田鄉,房地(土地+建物),屏東縣竹田鄉龍門路56巷,139.67,,鄉村區,乙種建築用地,1120825,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,159.71,5,2,3,有,無,11600000,72632,,0.0,0,,RPQNMLRJRHIGFCT37CB,雲悅龍門,C棟6號,
屏東市,房地(土地+建物),屏東縣屏東市清進路,84.0,,鄉村區,乙種建築用地,1120902,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,136.34,4,2,4,有,無,12880000,94470,,0.0,0,,RPQNMLSJRHIGFAT27CB,景湛-透天,A棟3號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市公裕街169巷,54.72,住,,,1120818,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,129.09,3,2,2,有,無,8680000,67240,一樓平面,0.0,0,,RPPNMLSJRHIGFAT27DB,禾風3期,B棟A1-2F號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市公裕街169巷,54.72,住,,,1120823,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,129.09,3,2,2,有,無,8900000,68944,一樓平面,0.0,0,,RPRNMLSJRHIGFAT47DB,禾風3期,B棟A2-4F號,
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮瑞星路,44.8,住,,,1120814,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,121.29,3,2,2,有,無,7600000,63232,一樓平面,13.75,800000,,RPSNMLSJRHIGFCT77DB,和嘉苑七期,A棟2號,
