鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,36.78,住,,,1121001,土地12建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.91,3,2,2,有,無,10230000,77474,坡道平面,25.0,1250000,,RPPNMLOJIIIGFAM87CB,首富京華,A1棟9號,
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,36.78,住,,,1121001,土地12建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.91,3,2,2,有,無,10330000,78337,坡道平面,25.0,1250000,,RPQNMLOJIIIGFAM97CB,首富京華,A1棟10號,
南投市,房地(土地+建物)+車位,南投縣南投市文化路707巷,37.89,住,,,1120916,土地6建物1車位2,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,174.64,3,2,2,有,無,10360000,72008,坡道平面,61.32,2200000,,RPRNMLOJIIIGFAM08CB,英倫天琴,D2棟3F號,
竹山鎮,房地(土地+建物),南投縣竹山鎮吉祥段778-9地號,90.38,住,,,1120919,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,166.41,4,2,3,有,無,11800000,70909,,0.0,0,,RPPNMLOJIIIGFDM18CB,大和青森,B棟2號,
竹山鎮,房地(土地+建物),南投縣竹山鎮吉祥段778-14地號,109.75,住,,,1120923,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,213.03,4,2,5,有,無,13300000,62433,,0.0,0,,RPQNMLQJIIIGFDM48CB,大和青森,A棟5號,
草屯鎮,房地(土地+建物),南投縣草屯鎮中原段0473-0025號,107.83,,特定農業區,甲種建築用地,1120916,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,164.54,3,2,3,有,無,12100000,73538,,0.0,0,,RPSNMLTJIIIGFBM78CB,廣宣-成家NO.6,A棟6號,
草屯鎮,房地(土地+建物),南投縣草屯鎮中原段0473-0021號,101.12,,特定農業區,甲種建築用地,1120919,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,162.73,3,2,3,有,無,12300000,75585,,0.0,0,,RPTNMLTJIIIGFBM88CB,廣宣-成家NO.6,A棟1號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮北平街,20.15,商,,,1121008,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.76,3,2,2,有,無,12000000,89345,坡道平面,25.0,1300000,,RPPNMLKKIIIGFCM87DB,寬心璽玥,F棟9號,
草屯鎮,房地(土地+建物),南投縣草屯鎮芬草路三段,98.09,,鄉村區,乙種建築用地,1121007,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,188.32,4,1,4,有,無,14860000,78908,,0.0,0,,RPPNMLLKIIIGFBM77CB,進陶花源,B棟3號,
南投市,房地(土地+建物)+車位,南投縣南投市彰南路三段1161巷,41.67,住,,,1120925,土地3建物1車位1,三層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,137.04,3,2,2,有,無,7560000,57594,坡道平面,23.14,1000000,,RPPNMLMKIIIGFAM77CB,萬景山河,B棟B5號,
南投市,房地(土地+建物),南投縣南投市彰南路三段1161巷,27.22,住,,,1121008,土地3建物1車位0,一層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,74.42,2,2,2,有,無,4250000,57108,,0.0,0,,RPQNMLMKIIIGFAM87CB,萬景山河,B棟B8號,
南投市,房地(土地+建物)+車位,南投縣南投市彰南路三段1161巷,37.84,住,,,1121008,土地3建物1車位1,一層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,126.57,3,2,2,有,無,6980000,57817,坡道平面,23.14,1000000,,RPRNMLMKIIIGFAM97CB,萬景山河,B棟B5號,
南投市,房地(土地+建物)+車位,南投縣南投市光明南路,21.09,住,,,1120924,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.22,3,2,2,有,無,10000000,84847,坡道平面,26.45,1450000,,RPSNMLMKIIIGFAM08CB,三銳世紀,G棟1號,
南投市,房地(土地+建物)+車位,南投縣南投市光明南路,20.91,住,,,1120924,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.38,3,2,2,有,無,9920000,84759,坡道平面,26.45,1450000,,RPTNMLMKIIIGFAM18CB,三銳世紀,E棟6號,
竹山鎮,房地(土地+建物),南投縣竹山鎮吉祥段778-11地號,123.93,住,,,1120923,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,213.75,4,2,5,有,無,14000000,65497,,0.0,0,,RPPNMLMKIIIGFDM08CB,大和青森,B棟1號,
竹山鎮,房地(土地+建物),南投縣竹山鎮和育一巷,89.08,住,,,1120926,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,159.62,4,3,3,有,無,11200000,70167,,0.0,0,一樓有停車空間,RPQNMLMKIIIGFDM18CB,山水竹苑,A棟1號,
竹山鎮,房地(土地+建物),南投縣竹山鎮和育一巷,103.49,住,,,1120926,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,156.57,4,3,3,有,無,10700000,68340,,0.0,0,一樓有停車空間,RPRNMLMKIIIGFDM28CB,山水竹苑,B棟5號,
