鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
北屯區,租賃房屋,臺中市北屯區北屯路２４０巷８０號４樓,7.79,住,,,1120908,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810627,71.41,1,1,1,有,有,有,17000,238,,0.0,0,,RPQNMLMKRHIGFBB77CC,獨立套房,有,1120910~1130909,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
北屯區,租賃房屋+車位,臺中市北屯區旅順路一段２０１號４樓,0.0,,,,1120830,土地0建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841215,168.9,4,2,2,有,有,有,20000,118,坡道機械,0.0,0,續租案件；,RPRNMLMKRHIGFBB87CC,整棟(戶)出租,有,1120910~1130909,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
北屯區,租賃房屋+車位,臺中市北屯區敦富六街１２號５樓之六,15.19,住,,,1120828,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120314,129.89,2,2,1,有,有,有,28000,216,坡道平面,31.08,0,租金總額含管理費；,RPSNMLMKRHIGFBB97CC,整棟(戶)出租,有,1120905~1130904,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般代管
北區,租賃房屋,臺中市北區五權路２７０,0.0,,,,1120823,土地0建物0車位0,全,3,透天厝,住家用,加強磚造,0640714,20.0,11,0,11,有,無,有,8000,400,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPTNMLMKRHIGFBB08CC,分租套房,無,1120823~1130822,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般代管
北屯區,租賃房屋,臺中市北屯區文心路四段６７２號４樓之１７,0.0,,,,1120831,土地0建物1車位0,四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841124,41.95,1,1,1,有,有,有,12200,291,,0.0,0,此為住宅及都市更新中心社會住宅包租代管計畫之物件管理費800元,RPUNMLMKRHIGFBB18CC,整棟(戶)出租,有,1120916~1130915,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
北屯區,租賃房屋,臺中市北屯區祥順六街１２３號６樓之１,22.61,住,,,1120905,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1050304,126.66,3,2,2,有,有,有,17500,138,,0.0,0,社會住宅包租代管案件租金市價打9折。因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費，費用為承租人另行支付。,RPVNMLMKRHIGFBB28CC,整棟(戶)出租,有,1120905~1130904,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
北屯區,租賃房屋,臺中市北屯區天津路四段２６６之２號,24.66,住,,,1120905,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770103,98.44,2,1,2,有,有,有,12200,124,,0.0,0,社會住宅包租代管案件租金市價打8折。因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費，費用為承租人另行支付。,RPWNMLMKRHIGFBB38CC,整棟(戶)出租,有,1120920~1150919,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
北區,租賃房屋,臺中市北區進化北路３１７號１８樓之２１,5.37,商,,,1120910,土地2建物1車位0,十八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,68.09,0,0,0,無,有,有,14000,206,,0.0,0,社會住宅出租續租案件；,RPXNMLMKRHIGFBB48CC,獨立套房,有,1120912~1130911,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
北區,租賃房屋,臺中市北區進化北路３１７號１２樓之１５,6.17,商,,,1120901,土地2建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,71.53999999999999,0,0,0,無,有,有,14000,196,,0.0,0,,RPOOMLMKRHIGFBB67CC,獨立套房,有,1120911~1130910,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
北屯區,租賃房屋,臺中市北屯區遼陽五街１３８之４號,22.84,住,,,1120828,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720719,72.0,3,2,1,有,有,無,14000,194,,0.0,0,社會住宅包租代管案件租金市價打8折。因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費，費用為承租人另行支付。,RPPOMLMKRHIGFBB77CC,整棟(戶)出租,有,1120916~1150915,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
北屯區,租賃房屋,臺中市北屯區軍榮一街２８號十樓之７,17.67,商,,,1120816,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1041016,133.81,3,2,2,有,有,無,20000,149,,0.0,0,社會住宅包租代管公會版4期續租案件；,RPQOMLMKRHIGFBB87CC,整棟(戶)出租,有,1120925~1130924,有,熱水器、瓦斯或天然氣,社會住宅代管
北屯區,租賃房屋+車位,臺中市北屯區敦富六街１８號１０樓之６,7524.03,住,,,1120912,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120314,154.07,3,2,2,有,有,有,35000,227,坡道平面,0.0,0,,RPROMLMKRHIGFBB97CC,整棟(戶)出租,有,1121001~1140930,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
