編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXOMLNKRHIGFAO17DA,15,3.38,集合住宅、管理員室,鋼筋混凝土造,97年5月20日,十四層,,持分移轉
RPXOMLNKRHIGFAO17DA,15,44.99,防空避難室兼停車空間,鋼筋混凝土造,97年5月20日,十四層,,持分移轉
RPUNMLSJQHIGFAO07DA,50,155.58,住宅,加強磚造,62年7月1日,,一層 二層,全筆移轉
RPOOMLOLQHIGFAO98DA,26,98.62,集合住宅,鋼筋混凝土造,86年11月11日,十五層,八層 陽台 花台,全筆移轉
RPOOMLOLQHIGFAO98DA,26,15.99,共有部分,鋼筋混凝土造,86年11月11日,十五層,,持分移轉
RPOOMLOLQHIGFAO98DA,26,34.00,共有部分,鋼筋混凝土造,86年11月11日,十五層,,持分移轉
RPPRMLQJRHIGFAO86DA,3,.01,辦公室（廳）,鋼筋混凝土造,109年5月12日,二十一層,一層,持分移轉
RPPRMLQJRHIGFAO86DA,3,40.59,辦公室,鋼筋混凝土造,109年5月12日,二十一層,十五層 陽台,全筆移轉
RPPRMLQJRHIGFAO86DA,3,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,,持分移轉
RPPRMLQJRHIGFAO86DA,3,23.91,共有部分,鋼筋混凝土造,109年5月12日,二十一層,,持分移轉
RPROMLOLQHIGFAO66DA,,45.39,住家用,鋼筋混凝土造,,七層,七層 陽台,全筆移轉
RPROMLOLQHIGFAO66DA,,2.97,共有部分,鋼筋混凝土造,,七層,,持分移轉
RPROMLOLQHIGFAO66DA,,6.76,共有部分,鋼筋混凝土造,,七層,,持分移轉
RPSQMLLJRHIGFAO56DA,32,33.62,住家用,鋼筋混凝土造,81年1月29日,十二層,六層 陽台 雨遮,全筆移轉
RPSQMLLJRHIGFAO56DA,32,3.62,共有部分,鋼筋混凝土造,81年1月29日,000,,持分移轉
RPSQMLLJRHIGFAO56DA,32,7.69,共有部分,鋼筋混凝土造,81年1月29日,十二層,,持分移轉
RPTPMLQJRHIGFAO07DA,25,22.44,住家用,鋼筋混凝土造,87年6月1日,六層,三層 陽台,全筆移轉
RPTPMLQJRHIGFAO07DA,25,12.62,共有部分,鋼筋混凝土造,87年6月1日,六層,,持分移轉
RPQOMLSJRHIGFAO86DA,19,126.34,集合住宅,鋼筋混凝土造,93年9月15日,十四層,二層 陽台,全筆移轉
RPQOMLSJRHIGFAO86DA,19,62.75,戶內遊憩設施、社區〈村里〉活動中心、防空避難室兼停車空間、機房、水箱、樓梯間,鋼筋混凝土造,93年9月15日,十四層,,持分移轉
RPOQMLPLQHIGFAO66DA,12,.02,守衛室,鋼筋混凝土造,100年5月1日,十四層,一層,持分移轉
RPOQMLPLQHIGFAO66DA,12,86.02,集合住宅,鋼筋混凝土造,100年5月1日,十二層,八層 陽台,全筆移轉
RPOQMLPLQHIGFAO66DA,12,16.83,共有部分,鋼筋混凝土造,100年5月1日,十二層,,持分移轉
RPOQMLPLQHIGFAO66DA,12,.00,共有部分,鋼筋混凝土造,100年5月1日,十二層,,持分移轉
