鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
民雄鄉,租賃房屋,嘉義縣民雄鄉?福村１０鄰?福７６號之６,0.0,,,,1120918,土地0建物1車位0,全,1,透天厝,住家用,鋼筋混凝土加強磚造,0640520,59.63,3,1,1,有,無,有,10000,168,,0.0,0,此為嘉義縣社會住宅包租代管計畫,RPPNMLNJIIIGFCQ48CC,整棟(戶)出租,無,1121009~1131008,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
朴子市,租賃房屋,嘉義縣朴子市朴子六路５８號,40.2,住,,,1120928,土地1建物1車位0,見其他登記事項,10,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0860110,133.23000000000002,2,2,2,有,有,無,10000,75,,0.0,0,,RPPNMLOJIIIGFBQ48CC,分層出租,有,1121005~1131004,有,冷氣,
大林鎮,租賃房屋,嘉義縣大林鎮平林里１７鄰光明路５７號五樓,0.0,,,,1120922,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0820217,113.89,3,1,2,有,無,有,12000,105,,0.0,0,,RPPNMLOJIIIGFCQ58CC,整棟(戶)出租,無,1120922~1130921,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
水上鄉,租賃房屋,嘉義縣水上鄉民生村立業街５巷４號,0.0,,,,1120922,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0690701,89.63,4,1,1,有,無,無,7500,84,,0.0,0,租金總額含管理費；,RPRNMLOJIIIGFDQ88CC,整棟(戶)出租,無,1120922~1130921,無,,社會住宅代管
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之７號五樓之４８,0.0,,,,1120911,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0940815,23.34,1,0,1,有,有,有,5400,231,,0.0,0,,RPVNMLOJIIIGFDQ66CC,整棟(戶)出租,有,1120916~1130915,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
太保市,租賃房屋,嘉義縣太保市中山路一段２２８巷１９弄３５號九樓２,0.0,,,,1120911,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0821006,112.38000000000001,3,2,2,有,有,無,10000,89,,0.0,0,,RPWNMLOJIIIGFDQ76CC,整棟(戶)出租,無,1120913~1130912,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
民雄鄉,租賃房屋,嘉義縣民雄鄉秀林村溪底寮２０之１６號四樓之２,0.0,,,,1120928,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1120425,90.15,3,2,2,有,有,有,14040,156,,0.0,0,嘉義縣社會住宅包租代管計畫之物件。管理費960元。,RPPNMLNKIIIGFCQ58CC,整棟(戶)出租,有,1120928~1130927,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
中埔鄉,租賃房屋,嘉義縣中埔鄉中華路２０７巷５號,54.6,,特定農業區,甲種建築用地,1121012,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0690813,104.26,6,1,2,有,無,有,8000,77,,0.0,0,,RPRNMLNKIIIGFDQ88CC,整棟(戶)出租,無,1121015~1141014,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
民雄鄉,租賃房屋+車位,嘉義縣民雄鄉豐收村好收１３５之１７號,94.53,,鄉村區,乙種建築用地,1121006,土地1建物1車位2,全,3,透天厝,住家用,鋼筋混凝土造,1120314,143.08,3,2,4,有,無,無,25000,175,一樓平面,0.0,0,,RPPNMLRKIIIGFCQ98CC,整棟(戶)出租,無,1121007~1131006,無,,
太保市,租賃房屋+車位,嘉義縣太保市保鐵一路二段９７號１４樓之５,0.0,,,,1120930,土地0建物1車位1,十四層,16,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060421,175.73,3,2,2,有,有,有,36000,205,坡道平面,29.88,0,租金總額含管理費；,RPPNMLTKIIIGFDQ66CC,整棟(戶)出租,有,1120925~1130924,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,一般代管
