鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
屏東市,建物,屏東縣屏東市成功路２號２樓之２,0.0,住,,,1120816,土地0建物1車位1,二層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111220,122.03,2,1,1,有,有,有,15000,123,坡道平面,24.28,0,,RPUNMLSKQHIGFAT97EC,,,,,,
屏東市,土地,長春段58地號,153.0,其他,,,1120815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,15000,98,,0.0,0,含增建或未登記建物。；,RPPNMLLLQHIGFAT66CC,,,,,,
屏東市,房地(土地+建物),屏東縣屏東市康定街８４巷２５號,61.0,住,,,1120801,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0650308,35.4,0,1,1,有,無,有,13000,367,,0.0,0,含增建或未登記建物。；,RPQNMLLLQHIGFAT76CC,,,,,,
屏東市,房地(土地+建物)+車位,屏東縣屏東市大武路３１１號２樓之１,11.2,住,,,1120815,土地1建物1車位1,見其他登記事項,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831006,50.37,2,1,1,有,無,有,12800,254,坡道機械,0.0,0,,RPRNMLLLQHIGFAT86CC,,,,,,
潮州鎮,土地,華興段770地號,70.15,住,,,1120814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,11000,157,,0.0,0,含增建或未登記建物。；,RPPNMLLLQHIGFCT86CC,,,,,,
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號３樓之６,10.0,,鄉村區,乙種建築用地,1120812,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.31,1,1,1,有,無,有,5500,181,,0.0,0,,RPQNMLLLQHIGFCT96CC,,,,,,
內埔鄉,建物,屏東縣內埔鄉壽比路２２８號４樓之２,10.0,,鄉村區,乙種建築用地,1120801,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,32.63,1,1,1,有,無,有,5500,169,,0.0,0,,RPRNMLLLQHIGFCT07CC,,,,,,
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號６樓之３,10.0,,鄉村區,乙種建築用地,1120815,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.9,1,1,1,有,無,有,5600,181,,0.0,0,,RPSNMLLLQHIGFCT17CC,,,,,,
內埔鄉,建物,屏東縣內埔鄉壽比路２２８號６樓之７,10.0,,鄉村區,乙種建築用地,1120807,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,31.81,1,1,1,有,無,有,5500,173,,0.0,0,,RPUNMLLLQHIGFCT37CC,,,,,,
內埔鄉,建物,屏東縣內埔鄉福泰路３號１樓,7.7,,鄉村區,乙種建築用地,1120814,土地0建物0車位0,一層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,38.48,1,1,1,有,無,有,5000,130,,0.0,0,,RPVNMLLLQHIGFCT47CC,,,,,,
