編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSOMLQKJIIGFDT07DA,2,22.30,本共有部分之項目有梯廳、梯間、停車空間、電信室等４項,鋼筋混凝土構造,111年4月29日,五層,,持分移轉
RPPNMLSLJIIGFAT66DA,,124.88,住家用,鋼筋混凝土造,,三層,一層 二層 三層 騎樓,全筆移轉
RPTOMLSLJIIGFAT17DA,27,194.30,住家用,鋼筋混凝土造,85年12月19日,五層,一層 二層 三層 四層 五層 陽台,全筆移轉
RPRNMLTLJIIGFDT27DA,45,78.08,住家用,加強磚造,68年2月6日,二層,一層 二層 屋頂突出物 夾層,全筆移轉
RPRNMLNLJIIGFET76DA,28,15.93,共同部份,鋼筋混凝土造,84年11月17日,十二層,,持分移轉
RPRNMLNLJIIGFET76DA,28,21.77,住家用,鋼筋混凝土造,84年11月17日,十二層,九層,全筆移轉
RPPNMLSLJIIGFCT96EA,41,198.88,住家用,加強磚造,71年8月9日,二層,一層 二層 騎樓,全筆移轉
RPPNMLRLJIIGFFT17EA,6,189.68,住家用,鋼筋混凝土造,106年11月10日,,一層 二層 三層 陽台,全筆移轉
RPSNMLNKJIIGFCT56DA,24,21.89,住家用,鋼筋混凝土造,88年11月30日,五層,四層 陽台,全筆移轉
RPSNMLNKJIIGFCT56DA,24,8.86,梯間、機械室、電信室、台電配電室、水塔、停車空間,鋼筋混凝土造,88年11月30日,五層,,持分移轉
RPQNMLRLJIIGFCT86DA,1,192.19,住宅、樓梯間,鋼筋混凝土構造,111年9月6日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPPNMLNLJIIGFCT09EA,46,99.85,住商用,加強磚造,67年4月17日,二層,一層 二層 騎樓,全筆移轉
RPPOMLLLJIIGFCT88DA,,18.60,本共有部分之項目有安全梯、梯廳、停車空間、昇降梯及機械室等五項。,鋼筋混凝土構造,112年8月4日,五層,,持分移轉
RPPOMLLLJIIGFCT88DA,,60.28,集合住宅,鋼筋混凝土構造,112年8月4日,五層,三層 陽台,全筆移轉
RPPOMLTLJIIGFCT07DA,49,57.60,住家用,加強磚造,63年10月9日,二層,一層 二層,全筆移轉
RPQNMLPKJIIGFET76DA,6,28.20,住宅,鋼筋混凝土構造,106年11月8日,三層,一層 二層 三層 陽台 屋頂突出物,持分移轉
RPUNMLKMJIIGFCT66DA,1,208.58,住宅,鋼筋混凝土構造,112年1月12日,三層,一層 二層 三層 陽台,全筆移轉
RPQNMLLLJIIGFET09DA,28,15.97,共同部份,鋼筋混凝土造,84年7月10日,四層,,持分移轉
RPQNMLLLJIIGFET09DA,28,23.22,住家用,鋼筋混凝土造,84年7月10日,四層,二層 陽台,全筆移轉
RPSNMLPKJIIGFET96DA,6,28.20,住宅,鋼筋混凝土構造,106年11月8日,三層,一層 二層 三層 陽台 屋頂突出物,持分移轉
RPQNMLOKJIIGFAT88DA,24,94.41,集合住宅,鋼筋混凝土造,88年12月4日,十四層,三層 陽台,全筆移轉
RPQNMLOKJIIGFAT88DA,24,54.74,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,,持分移轉
RPOOMLKLJIIGFAT48DA,,48.52,住家用,磚造,,一層,一層 騎樓,全筆移轉
RPSNMLTLJIIGFAT07DA,47,86.55,住家用,加強磚造,65年6月8日,二層,一層 二層 屋頂突出物,全筆移轉
RPQOMLQKJIIGFDT86DA,36,181.96,店鋪 住宅,鋼筋混凝土造,76年12月16日,三層,一層 二層 三層 屋頂突出物 騎樓,全筆移轉
RPQNMLOLJIIGFDT66DA,41,78.40,店舖　住宅,鋼筋混凝土造,71年7月12日,二層,一層 二層,全筆移轉
RPTOMLRJJIIGFAT86DA,1,89.65,集合住宅,鋼筋混凝土造,112年4月17日,五層,三層 陽台,全筆移轉
RPOOMLOKJIIGFAT78DA,1,89.65,集合住宅,鋼筋混凝土造,112年4月17日,五層,四層 陽台,全筆移轉
RPTOMLRJJIIGFAT86DA,1,45.49,共同梯間、停車空間,鋼筋混凝土造,112年4月17日,五層,,持分移轉
RPOOMLOKJIIGFAT78DA,1,45.49,共同梯間、停車空間,鋼筋混凝土造,112年4月17日,五層,,持分移轉
RPPNMLRLJIIGFFT07DA,21,149.45,住家用,加強磚造,91年12月3日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPUNMLRLJIIGFAT07DA,30,201.55,住家用,鋼筋混凝土造,83年3月21日,四層,一層 二層 三層 四層 陽台 平台,全筆移轉
RPTNMLOLJIIGFCT86DA,30,46.73,地下室兼防空避難室、頂蓋型開放空間、樓梯間、水箱、機械房等公共設施,鋼筋混凝土造,83年2月7日,九層,,持分移轉
RPTNMLOLJIIGFCT86DA,30,107.21,住家用,鋼筋混凝土造,83年2月7日,九層,四層 陽台 露台,全筆移轉
RPQNMLKMJIIGFBT78DA,30,64.08,住商用,鋼筋混凝土造,82年5月22日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓,持分移轉
RPQNMLLJKIIGFCT78DA,30,30.88,地下室兼防空避難室、頂蓋型開放空間、樓梯間、水箱、機械房等公共設施,鋼筋混凝土造,83年2月7日,九層,,持分移轉
RPQNMLLJKIIGFCT78DA,30,76.03,住家用,鋼筋混凝土造,83年2月7日,九層,五層 陽台 花台,全筆移轉
RPQNMLNJKIIGFET56DA,28,15.97,共同部份,鋼筋混凝土造,84年7月10日,四層,,持分移轉
RPQNMLNJKIIGFET56DA,28,23.22,住家用,鋼筋混凝土造,84年7月10日,四層,三層 陽台,全筆移轉
RPSNMLNLJIIGFAT09DA,24,45.81,集合住宅,鋼筋混凝土造,88年12月4日,十四層,八層 陽台,全筆移轉
RPSNMLNLJIIGFAT09DA,24,13.44,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,,持分移轉
RPUNMLKMJIIGFAT09DA,,227.66,集合住宅,鋼筋混凝土造,112年8月2日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPUNMLOJKIIGFAT66DA,1,178.98,集合住宅,鋼筋混凝土造,111年9月21日,二層,一層 二層 屋頂突出物 騎樓,全筆移轉
RPSNMLOJKIIGFAT09DA,30,181.59,住商用,鋼筋混凝土造,82年9月17日,四層,一層 二層 三層 四層 屋頂突出物,全筆移轉
RPVNMLOJKIIGFAT76DA,1,182.03,集合住宅,鋼筋混凝土造,111年9月21日,二層,一層 二層 屋頂突出物 騎樓,全筆移轉
RPSPMLPJKIIGFAT76DA,44,48.23,住家用,加強磚造,68年11月30日,一層,一層,全筆移轉
RPTNMLLJKIIGFCT09DA,1,195.39,停車空間、集合住宅,鋼筋混凝土構造,111年12月22日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPTNMLLJKIIGFCT09DA,1,.59,管理室,鋼筋混凝土構造,111年12月22日,一層,一層,持分移轉
