鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
七堵區,租賃房屋,基隆市七堵區福一街２０巷２８之３號,0.0,,,,1120913,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680112,87.86,3,2,1,有,無,無,18000,205,,0.0,0,,RPUOMLMJIIIGFDC67CC,整棟(戶)出租,無,1120920~1130919,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區麥金路１５１之７號２樓,0.0,,,,1120915,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,111.06,3,2,2,有,有,有,11000,99,,0.0,0,,RPVOMLMJIIIGFDC77CC,整棟(戶)出租,有,1120930~1130929,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
暖暖區,租賃房屋,基隆市暖暖區碇內街４２４號４樓,0.0,,,,1120915,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,78.52,2,1,1,有,有,有,8000,102,,0.0,0,,RPPNMLNJIIIGFDC17CC,整棟(戶)出租,有,1120930~1130929,有,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅代管
中山區,租賃房屋,基隆市中山區中山二路１０７巷１２６號,0.0,,,,1120918,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841206,82.43,3,1,2,有,無,有,15000,182,,0.0,0,,RPQNMLNJIIIGFDC27CC,整棟(戶)出租,無,1120918~1130917,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
中山區,租賃房屋,基隆市中山區復興路２１７號１１樓之６,0.0,,,,1120918,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111201,82.11,2,1,1,有,有,無,17700,216,,0.0,0,,RPRNMLNJIIIGFDC37CC,整棟(戶)出租,有,1120919~1130918,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
中正區,租賃房屋,基隆市中正區祥豐街９５號３樓之５,0.0,,,,1120918,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880510,31.05,1,0,1,有,有,有,6000,193,,0.0,0,,RPSNMLNJIIIGFDC47CC,整棟(戶)出租,有,1121007~1130830,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
安樂區,租賃房屋,基隆市安樂區基金一路１３５巷２１弄５２號３樓,0.0,,,,1120918,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820902,115.94,3,2,2,有,有,有,13500,116,,0.0,0,,RPTNMLNJIIIGFDC57CC,整棟(戶)出租,有,1120930~1130929,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
中山區,租賃房屋,基隆市中山區復興路２０３號,30.53,商,,,1120914,土地1建物1車位0,一層,14,店面(店鋪),店舖,鋼筋混凝土造,1111201,199.75,0,0,1,有,有,無,54000,270,,0.0,0,,RPUNMLNJIIIGFDC67CC,,有,1121001~1220930,有,,
安樂區,租賃房屋,基隆市安樂區新西街２０７巷２４之１號,0.0,,,,1120918,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670906,79.73,3,2,1,有,無,有,6000,75,,0.0,0,,RPVNMLNJIIIGFDC77CC,整棟(戶)出租,無,1120930~1130929,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
安樂區,租賃房屋,基隆市安樂區樂利三街８巷４５號９樓,0.0,,,,1120918,土地0建物1車位0,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840504,88.56,2,1,1,有,有,無,10000,113,,0.0,0,,RPWNMLNJIIIGFDC87CC,整棟(戶)出租,有,1121013~1131012,有,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區武聖街５０巷４號２樓,0.0,住,,,1120922,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790915,115.42999999999999,3,2,1,有,無,有,13000,113,,0.0,0,,RPXNMLNJIIIGFDC97CC,整棟(戶)出租,無,1120918~1130917,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
中正區,租賃房屋,基隆市中正區觀海街１１３號６樓,0.0,,,,1120913,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,133.78,2,1,2,有,有,有,12000,90,,0.0,0,,RPOOMLNJIIIGFDC17CC,整棟(戶)出租,有,1120915~1130614,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
暖暖區,租賃房屋,基隆市暖暖區碇內街２５１號６樓,0.0,,,,1120916,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,63.0,1,1,1,有,有,有,8000,127,,0.0,0,,RPPOMLNJIIIGFDC27CC,整棟(戶)出租,無,1120916~1130915,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區樂利二街６２巷２２１號１０樓,0.0,,,,1120908,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,35.39,1,0,1,有,有,有,7500,212,,0.0,0,,RPPNMLOJIIIGFDC27CC,獨立套房,有,1120911~1130910,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
暖暖區,租賃房屋,基隆市暖暖區東勢街４之１８號,0.0,住,,,1120905,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720415,83.79,3,1,1,有,無,有,8500,101,,0.0,0,,RPRNMLOJIIIGFDC47CC,整棟(戶)出租,無,1120905~1130904,無,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅代管
暖暖區,租賃房屋,基隆市暖暖區碇內街４４６號６樓,0.0,,,,1120917,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,91.27,2,1,1,有,有,無,8000,88,,0.0,0,,RPSNMLOJIIIGFDC57CC,整棟(戶)出租,有,1120930~1130929,有,熱水器、瓦斯或天然氣,社會住宅代管
中正區,租賃房屋,基隆市中正區新豐街２３０號１１樓,0.0,住,,,1120925,土地1建物1車位0,十一層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,30.89,0,0,0,無,有,有,7500,243,,0.0,0,,RPTNMLOJIIIGFDC67CC,整棟(戶)出租,有,1121001~1130930,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
中山區,租賃房屋,基隆市中山區西定路６３號３樓,0.0,,,,1120906,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660422,68.94,2,1,1,有,無,無,6000,87,,0.0,0,,RPVNMLOJIIIGFDC87CC,整棟(戶)出租,無,1120910~1130909,無,冷氣、熱水器,社會住宅代管
暖暖區,租賃房屋,基隆市暖暖區暖暖街２８１巷１５號１０樓,0.0,,,,1120923,土地0建物1車位0,十層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1021204,148.81,3,2,2,有,有,無,18000,121,,0.0,0,,RPSNMLPJIIIGFDC67CC,整棟(戶)出租,有,1120930~1130929,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
中山區,租賃房屋,基隆市中山區健民街８之２號,0.0,,,,1120919,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0650524,81.84,2,1,1,有,無,有,9000,110,,0.0,0,,RPTNMLPJIIIGFDC77CC,整棟(戶)出租,無,1120930~1130929,無,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區樂利三街２６３巷２３之４號,0.0,,,,1120922,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710603,74.33,1,1,1,有,無,有,9000,121,,0.0,0,,RPRNMLQJIIIGFDC67CC,整棟(戶)出租,無,1120930~1130929,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
安樂區,租賃房屋,基隆市安樂區樂利二街６２巷５７８號５樓,0.0,,,,1120913,土地0建物1車位0,五層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1001013,141.70000000000002,3,2,2,有,有,有,19800,140,,0.0,0,,RPTNMLQJIIIGFDC87CC,整棟(戶)出租,有,1120918~1130917,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
中正區,租賃房屋,基隆市中正區新豐街３３３巷５６號６樓,0.0,,,,1120920,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841122,54.290000000000006,1,1,1,有,有,有,8500,157,,0.0,0,,RPUNMLQJIIIGFDC97CC,整棟(戶)出租,有,1120920~1130919,有,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅包租轉租
