鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
鹿草鄉,土地,麻豆店段下麻小段248地號,1106.0,,特定農業區,農牧用地,1120717,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1437800,1300,,0.0,0,,RPRNMLMJQHIGFDQ76EA,0.0,0.0,0.0,無,0140
水上鄉,土地,三和段1375地號,85.19,住,,,1120705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,14086,,0.0,0,未登記建物；,RPQNMLRKPHIGFDQ07DA,0.0,0.0,0.0,無,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉福村福９０號之１２,58.1,都市：其他:住,,,1120715,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670825,90.4,3,2,2,有,無,3500000,38717,,0.0,0,,RPWNMLMJQHIGFCQ07DA,90.4,0.0,0.0,無,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉福權村１１鄰福權２５２號,106.65,,特定農業區,甲種建築用地,1120720,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0891104,156.39,4,2,3,有,無,6800000,43481,,0.0,0,,RPSNMLNJQHIGFCQ76DA,133.65,22.74,0.0,無,
義竹鄉,土地,埤子頭段埤前小段1412地號,591.0,,特定農業區,農牧用地,1120725,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,677,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLNJQHIGFBQ86DA,0.0,0.0,0.0,無,
朴子市,土地,德安段374-5地號,104.25,住,,,1120724,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,47962,,0.0,0,,RPQOMLNJQHIGFBQ56DA,0.0,0.0,0.0,無,
朴子市,房地(土地+建物),嘉義縣朴子市新生路１５巷８號,110.42,住,,,1120725,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0820320,175.22,4,3,3,有,無,8000000,45657,,0.0,0,,RPOOMLNJQHIGFBQ98DA,175.22,0.0,0.0,無,0141
義竹鄉,土地,過路子段804-27地號,134.0,,特定專用區,養殖用地,1120725,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,147400,1100,,0.0,0,協議價購；,RPPOMLNJQHIGFBQ09DA,0.0,0.0,0.0,無,
民雄鄉,土地,民農段920地號,25.34,都市：其他:農,,,1120724,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,23678,,0.0,0,本買賣之增值稅、印花稅、規費及代書費全部由買方負擔。,RPPNMLMJQHIGFCQ98DA,0.0,0.0,0.0,無,
新港鄉,土地,溪北段溪北小段1110-1地號,2229.0,,特定農業區,農牧用地,1120710,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2900000,1301,,0.0,0,附帶地下水井及電錶設施一式。,RPQOMLKKPHIGFCQ98DA,0.0,0.0,0.0,無,
水上鄉,土地,三和段1373地號,82.58,住,,,1120705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,14531,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLRKPHIGFDQ96DA,0.0,0.0,0.0,無,
水上鄉,房地(土地+建物),嘉義縣水上鄉大崙村大崙１號之１,109.87,,鄉村區,乙種建築用地,1120711,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造、鋼鐵造,0670101,190.98,3,2,1,有,無,6500000,34035,,0.0,0,,RPQNMLNJQHIGFDQ66DA,190.98,0.0,0.0,無,
民雄鄉,土地,民興段384地號,78.85,都市：其他:住,,,1120722,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3410850,43257,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLNJQHIGFCQ66EA,0.0,0.0,0.0,無,
梅山鄉,土地,梅東段1758地號,67.0,都市：其他:農,,,1120702,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1100000,16418,,0.0,0,未登記建物；,RPPNMLRJQHIGFEQ17EA,0.0,0.0,0.0,無,
竹崎鄉,土地,樟樹坪段733地號,328.54,,山坡地保育區,丙種建築用地,1120727,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,297000,904,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLSJQHIGFEQ37EA,0.0,0.0,0.0,無,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉興南村下洋仔３４號,87.33,都市：其他:住,,,1120720,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0690111,90.69,2,2,2,有,無,1800000,19848,,0.0,0,,RPPNMLOJQHIGFCQ66EA,90.69,0.0,0.0,無,
大林鎮,土地,西結段195地號,692.19,,鄉村區,乙種建築用地,1120701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6281654,9075,,0.0,0,,RPPNMLSJQHIGFCQ07EA,0.0,0.0,0.0,無,0142
布袋鎮,土地,東岑段780地號,94.45,,鄉村區,乙種建築用地,1120714,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,960000,10164,,0.0,0,未登記建物；,RPPNMLSJQHIGFBQ96EA,0.0,0.0,0.0,無,
番路鄉,土地,番路段516-41地號,47.5,,鄉村區,乙種建築用地,1120726,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2200000,46316,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLMJQHIGFEQ56DA,0.0,0.0,0.0,無,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉義仁村樹頭埔１之３２號二樓之３,31.12,,特定農業區,甲種建築用地,1120712,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110628,83.59,1,1,1,有,有,6820000,81589,,0.0,0,含裝潢費；,RPPNMLQJQHIGFDQ86DA,52.44,0.0,5.64,有,
中埔鄉,土地,石頭厝段187-30地號,363.0,,特定農業區,礦業用地,1120720,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6279900,17300,,0.0,0,政府機關標讓售；,RPPNMLLMPHIGFDQ56DA,0.0,0.0,0.0,無,
水上鄉,土地,柳新段381地號,2527.7,,一般農業區,水利用地,1120719,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1516617,600,,0.0,0,協議價購；,RPPPMLMJQHIGFDQ66DA,0.0,0.0,0.0,無,0143
水上鄉,土地,柳新段380地號,2510.05,,一般農業區,水利用地,1120719,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1506030,600,,0.0,0,協議價購；,RPQPMLMJQHIGFDQ76DA,0.0,0.0,0.0,無,
水上鄉,土地,柳新段382地號,429.99,,一般農業區,水利用地,1120719,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,257997,600,,0.0,0,協議價購；,RPRPMLMJQHIGFDQ86DA,0.0,0.0,0.0,無,0144
