鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大雅區,房地(土地+建物)+車位,臺中市大雅區雅潭路四段６６１巷９號,19.84,住,,,1120712,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111012,120.87,2,1,1,有,有,有,26000,215,坡道平面,33.98,0,,RPPNMLTJQHIGFHB78CC
大雅區,建物,臺中市大雅區雅潭路四段６６１巷３８號十一樓之３,0.0,住,,,1120731,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1030224,115.83,2,2,2,有,有,有,15000,130,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫；每月水電、瓦斯費由承租人負擔。,RPQNMLTJQHIGFHB88CC
大里區,房地(土地+建物)+車位,臺中市大里區祥興路５２７號１０樓之１,18.88,住,,,1120727,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080530,126.08000000000001,2,1,1,有,有,有,22000,174,坡道平面,29.78,0,,RPPNMLTJQHIGFIB88CC
大里區,建物,臺中市大里區萬壽街４３號１０１,0.0,住,,,1120714,土地0建物0車位0,全,2,透天厝,住家用,鐵筋加強磚造水泥頂,0630110,33.06,1,0,0,無,無,有,6000,181,,0.0,0,該址共有三間，概估坪數為101為10坪33.06平方公尺，201為12坪39.67平方公尺，202為6坪19.83平方公尺該建物共計117.89平方公尺35.66坪，公共部分不列入套房坪數計算,RPQNMLTJQHIGFIB98CC
大里區,建物,臺中市大里區萬壽街４３號２０１,0.0,其他,,,1120714,土地0建物0車位0,全,2,透天厝,住家用,鐵筋加強磚造水泥頂,0630110,39.67,1,0,0,無,無,有,9000,227,,0.0,0,該址共有三間，概估坪數為101為10坪33.06平方公尺，201為12坪39.67平方公尺，202為6坪19.83平方公尺該建物共計117.89平方公尺35.66坪，公共部分不列入套房坪數計算,RPRNMLTJQHIGFIB09CC
大里區,房地(土地+建物)+車位,臺中市大里區祥興路５２９號５樓之３,14.28,住,,,1120722,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080530,99.28999999999999,2,1,1,有,有,有,20000,201,坡道平面,29.78,0,,RPSNMLTJQHIGFIB56CC
大里區,房地(土地+建物)+車位,臺中市大里區祥興路５２７號１１樓之３,14.22,住,,,1120717,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080530,99.05,2,1,1,有,有,有,20000,202,坡道平面,29.78,0,,RPUNMLTJQHIGFIB76CC
大里區,房地(土地+建物)+車位,臺中市大里區祥興路５２７號八樓之二,14.16,住,,,1120710,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080530,98.72,2,1,1,有,有,有,18000,182,坡道平面,29.78,0,,RPVNMLTJQHIGFIB86CC
大里區,房地(土地+建物)+車位,臺中市大里區祥興路５２７號９樓之一,18.88,住,,,1120710,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080530,126.08000000000001,2,2,1,有,有,有,23000,182,坡道平面,29.78,0,,RPWNMLTJQHIGFIB96CC
大里區,房地(土地+建物)+車位,臺中市大里區祥興路５２９號５樓之８,13.07,住,,,1120718,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080530,85.82,2,1,1,有,有,有,20000,233,坡道機械,16.55,0,,RPXNMLTJQHIGFIB07CC
烏日區,房地(土地+建物)+車位,臺中市烏日區高鐵三路２５號９樓之３,10.09,商,,,1120715,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100621,95.84,1,1,1,有,有,有,17000,177,坡道平面,39.31,0,,RPOOMLTJQHIGFIB88CC
大里區,建物,臺中市大里區中湖路１３０巷３１號,0.0,住,,,1120711,土地0建物1車位0,見其他登記事項,9,華廈(10層含以下有電梯),人行道．店舖,鋼筋混凝土造,0960607,85.46000000000001,1,1,1,有,無,有,15100,177,,0.0,0,,RPPOMLTJQHIGFIB98CC
西屯區,建物,臺中市西屯區漢口路２２３之３號３樓之１０,0.0,住,,,1120715,土地0建物1車位0,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851101,31.51,1,0,0,無,無,有,8500,270,,0.0,0,,RPPNMLTJQHIGFCB28CC
南屯區,房地(土地+建物)+車位,臺中市南屯區黎明東路３９９號５樓之１０,14.26,住,,,1120728,土地1建物1車位1,五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840817,116.24000000000001,3,2,2,有,有,有,24000,206,坡道機械,0.0,1000,因此案件為社會住宅包租 代管案件因素，此租約定金額不含管理費、車位租金，費用為承租人另行支付。因車位面積謄本無法算出，故未填車位面積,RPQNMLTJQHIGFCB38CC
