鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中西區,建物,臺南市中西區信義街１０８巷４３號２樓之２,0.0,住,,,1120511,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820327,24.990000000000002,1,0,1,有,有,有,5800,232,,0.0,0,參加公會版住宅包租代管計畫，租金為市價9折,RPSNMLNLNHIGFAD87CC
北區,建物,臺南市北區公園路６８１巷１８弄２８號,0.0,住,,,1120511,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0620404,102.17,6,1,2,有,無,有,16000,157,,0.0,0,,RPTNMLNLNHIGFAD97CC
中西區,建物,臺南市中西區正興街１８號七樓之５,0.0,商,,,1120518,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800729,27.009999999999998,1,0,1,有,有,有,6500,241,,0.0,0,參加公會版住宅包租代管計畫，租金為市價9折,RPVNMLNLNHIGFAD18CC
中西區,建物,臺南市中西區府前路二段２５８巷３３號二樓之１０,0.0,住,,,1120519,土地0建物1車位0,二層,6,套房(1房1廳1衛),商業用,鋼筋混凝土造,0790615,26.94,1,0,1,有,有,有,4000,148,,0.0,0,台南市不動產租賃公會民間住宅包租代管增辦第三期計畫；水電費及每月管理費550元由承租人負擔。,RPXNMLNLNHIGFAD38CC
北區,建物,臺南市北區公園路１３４號五樓之５,0.0,商,,,1120520,土地0建物1車位0,五層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780803,31.8,1,0,1,有,有,有,6800,214,,0.0,0,台南市不動產租賃公會民間住宅包租代管增辦第三期計畫；每月水電費由承租人負擔。,RPOOMLNLNHIGFAD57CC
中西區,建物,臺南市中西區民族路二段５７巷２號,0.0,商,,,1120510,土地0建物1車位0,一層,5,店面(店鋪),店舖、住宅、停車空間,鋼筋混凝土造,0970918,115.8,0,2,2,有,無,無,57000,492,,0.0,0,,RPPNMLOLNHIGFAD67CC
安平區,建物,臺南市安平區建平八街５５１號十三樓之８,0.0,住,,,1120520,土地0建物1車位0,十三層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870105,127.43,4,2,2,有,有,有,13000,102,,0.0,0,參加公會版住宅包租代管計畫，租金為市價9折,RPQNMLOLNHIGFAD77CC
北區,建物,臺南市北區海安路三段８０６號,0.0,住,,,1120517,土地0建物1車位0,見其他登記事項,24,店面(店鋪),店舖、集合住宅,鋼筋混凝土構造,1090131,248.08999999999997,0,2,2,有,有,有,68000,274,,0.0,0,租金:民國112年04月10日起至112年05月09日止為裝修期，減免租金民國112年05月10日起至114年04月09日止每月新台幣6萬8000元整民國114年04月10日起至115年04月09日止每月新台幣7萬40元整民國115年04月10日起至116年04月09日止每月新台幣7萬2080元整民國116年04月10日起至117年04月09日止每月新台幣7萬4120元整以上金額不含租賃所得稅扣繳稅額及補充保費，產生之補充保費及租賃所得之稅金由承租方支付,RPRNMLOLNHIGFAD87CC
北區,建物,臺南市北區北成路３０號七樓之６,0.0,其他,,,1120520,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0881106,117.00999999999999,3,2,2,有,有,有,17000,145,,0.0,0,參加公會版住宅包租代管計畫，租金為市價9折,RPSNMLOLNHIGFAD97CC
中西區,建物,臺南市中西區金華路三段２５２號十四樓之７,0.0,商,,,1120519,土地0建物1車位0,十四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870219,35.150000000000006,1,1,1,有,有,有,8000,228,,0.0,0,參加公會版住宅包租代管計畫，租金為市價9折,RPTNMLOLNHIGFAD08CC
