鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
太保市,建物,嘉義縣太保市安仁里頂港子墘４０之７號三樓之３６,0.0,,鄉村區,乙種建築用地,1120609,土地0建物1車位0,三層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0940815,23.34,1,0,1,有,有,有,5400,231,,0.0,0,,RPQNMLPKOHIGFDQ86CC
水上鄉,房地(土地+建物),嘉義縣水上鄉民生村仁愛街１１號,85.57,,鄉村區,乙種建築用地,1120609,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0690507,96.46,3,1,2,有,無,有,10000,104,,0.0,0,,RPRNMLPKOHIGFDQ96CC
朴子市,建物,嘉義縣朴子市仁和二路１３７號四樓之２６,0.0,住,,,1120613,土地0建物1車位0,四層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,27.830000000000002,1,0,1,有,有,有,4700,169,,0.0,0,,RPPNMLPKOHIGFBQ56CC
民雄鄉,建物,嘉義縣民雄鄉三興村三興路１９號２樓之８,0.0,住,,,1120613,土地0建物1車位0,二層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0951019,29.94,1,0,1,有,無,有,4700,157,,0.0,0,,RPPNMLQKOHIGFCQ76CC
大林鎮,建物,嘉義縣大林鎮平林里共和街２９號５樓,0.0,住,,,1120614,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0720312,69.98,3,1,1,有,無,有,7000,100,,0.0,0,,RPQNMLQKOHIGFCQ86CC
民雄鄉,房地(土地+建物),嘉義縣民雄鄉文隆村１３鄰建國路二段１８７之３０號,61.6,住,,,1120617,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0700210,100.02,5,1,5,有,無,有,14500,145,,0.0,0,水電費由承租人負擔。,RPPNMLKLOHIGFCQ88CC
太保市,房地(土地+建物),嘉義縣太保市麻寮里民生路９０巷３５號,93.58,住,,,1120614,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0841026,160.9,4,1,3,有,無,有,13000,81,,0.0,0,,RPPNMLKLOHIGFDQ98CC
太保市,建物,嘉義縣太保市安仁里頂港子墘４０之７號四樓之６,0.0,,鄉村區,乙種建築用地,1120614,土地0建物1車位0,四層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0940815,22.21,1,0,1,有,有,有,4000,180,,0.0,0,,RPQNMLKLOHIGFDQ09CC
太保市,建物,嘉義縣太保市安仁里頂港子墘４０之８號一樓之２０,0.0,,鄉村區,乙種建築用地,1120621,土地0建物1車位0,一層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0940815,22.21,1,0,1,有,有,有,4500,203,,0.0,0,,RPPNMLRLOHIGFDQ07CC
太保市,建物,嘉義縣太保市安仁里頂港子墘３９之２１號四樓之１１,0.0,,鄉村區,乙種建築用地,1120621,土地0建物1車位0,四層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0940204,23.02,1,0,1,有,有,有,4500,195,,0.0,0,,RPQNMLRLOHIGFDQ17CC
太保市,建物,嘉義縣太保市安仁里頂港子墘４０之８號四樓之４１,0.0,,鄉村區,乙種建築用地,1120620,土地0建物1車位0,四層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0940815,22.21,1,0,1,有,有,有,5000,225,,0.0,0,,RPRNMLRLOHIGFDQ27CC
民雄鄉,房地(土地+建物),嘉義縣民雄鄉福樂村埤角５２８號４樓之１,29.19,住,,,1120627,土地1建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810424,80.19,3,2,1,有,有,有,7000,87,,0.0,0,,RPPNMLSLOHIGFCQ07CC
