鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中央路,9.28,商,,,1120727,土地1建物1車位1,二十層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.1,2,2,1,有,無,11330000,116076,坡道平面,23.26,1250000,整筆交易包含:竹南鎮藝文段18地號一筆，土地持分	0.01 	平方公尺，共計移轉面積	9.29 	平方公尺,RPUNMLKKQHIGFFK09CB,中央世紀,A棟2-20F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中央路,9.35,商,,,1120729,土地1建物1車位1,六層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.22,2,2,1,有,無,10390000,110474,坡道機械,13.96,750000,整筆交易包含:竹南鎮藝文段18地號一筆，土地持分	0.01 	平方公尺，共計移轉面積	9.36 	平方公尺,RPVNMLKKQHIGFFK56CB,中央世紀,A棟3-6F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中央路,9.35,商,,,1120729,土地1建物1車位1,十三層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.66,2,2,1,有,無,11340000,114485,坡道平面,21.4,1350000,整筆交易包含:竹南鎮藝文段18地號一筆，土地持分	0.01 	平方公尺，共計移轉面積	9.36 	平方公尺,RPWNMLKKQHIGFFK66CB,中央世紀,A棟3-13F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中央路,9.05,商,,,1120729,土地1建物1車位1,十五層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.92,2,2,1,有,無,10970000,112450,坡道平面,23.26,1450000,整筆交易包含:竹南鎮藝文段18地號一筆，土地持分	0.01 	平方公尺，共計移轉面積	9.06 	平方公尺,RPXNMLKKQHIGFFK76CB,中央世紀,A棟5-15F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中央路,14.9,商,,,1120730,土地1建物1車位1,四層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.16,3,2,2,有,無,16740000,107289,坡道平面,27.91,1800000,整筆交易包含:竹南鎮藝文段18地號一筆，土地持分	0.01 	平方公尺，共計移轉面積	14.91 	平方公尺,RPOOMLKKQHIGFFK58CB,中央世紀,A棟6-4F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中央路,14.9,商,,,1120729,土地1建物1車位1,五層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.65,3,2,2,有,無,16520000,108223,坡道平面,21.4,1450000,整筆交易包含:竹南鎮藝文段18地號一筆，土地持分	0.01 	平方公尺，共計移轉面積	14.91 	平方公尺,RPPOMLKKQHIGFFK68CB,中央世紀,A棟6-5F號,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮和仁街,94.0,,工業區,丁種建築用地,1120721,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,177.12,4,2,3,有,無,15330000,86551,,0.0,0,,RPPNMLKKQHIGFDK38CB,家藏美7,B棟12號,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮和仁街,87.0,,工業區,丁種建築用地,1120728,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,158.65,4,2,3,有,無,15180000,95682,,0.0,0,,RPQNMLKKQHIGFDK48CB,家藏美7,A棟3號,
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉玉泉村玉泉29-1附近,39.92,住,,,1120724,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.01,3,2,2,有,無,7500000,64650,一樓平面,20.23,0,,RPOOMLKKQHIGFBK18CB,幸福里二期,5C棟0號,
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉玉泉村玉泉29-1附近,39.91,住,,,1120729,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.98,3,2,2,有,無,7580000,65356,一樓平面,20.23,0,,RPROMLKKQHIGFBK48CB,幸福里二期,5B棟0號,
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉玉泉村玉泉29-1號,39.92,住,,,1120807,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.01,3,2,2,有,無,7250000,62495,一樓平面,20.23,0,,RPTOMLKKQHIGFBK68CB,幸福里二期,3C棟0號,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市中正路1218巷,38.94,住,,,1120707,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,211.86,4,2,2,有,無,12100000,62521,坡道平面,34.0,980000,原序號B1KB11208010005 車位面積更正為34平方公尺 車位總價含機車位一個,RPPNMLLKQHIGFBK28CB,勝觀苑,L棟5號,
