鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大村鄉,房地(土地+建物),彰化縣大村鄉旗田巷１３１弄１２３之１號,93.48,,特定農業區,甲種建築用地,1100514,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1120331,168.45,0,0,0,無,無,7600000,45117,,0.0,0,土地：3800000元。建物：3800000元。,RPUNMLQLOHIGFDN07DA,164.2,0.0,4.25,無,
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮二溪路大突巷９５弄３３號,108.01,,鄉村區,乙種建築用地,1100517,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1120116,185.94,5,2,3,有,無,8900000,47865,,0.0,0,,RPPOMLNJNHIGFHN09DA,171.55,0.0,14.39,無,
大村鄉,房地(土地+建物),彰化縣大村鄉旗田巷１３１弄１２５號,171.79,,特定農業區,甲種建築用地,1100531,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1120331,178.38,4,2,3,有,無,8980000,50342,,0.0,0,,RPWNMLKMOHIGFDN76DA,173.88,0.0,4.5,無,
田中鎮,房地(土地+建物),彰化縣田中鎮建國路３８巷３０號,114.23,住,,,1100520,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1110830,208.12,4,3,3,有,無,13000000,62464,,0.0,0,合建分售:土地500萬 房屋800萬,RPSNMLPJPHIGFEN76DA,190.74,0.0,17.38,無,
伸港鄉,房地(土地+建物),彰化縣伸港鄉中山路１４２巷１５６號,98.16,住,,,1100523,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1120413,187.21,5,2,6,有,無,9750000,52081,,0.0,0,,RPSNMLKMOHIGFBN78DA,183.77,0.0,3.44,無,
和美鎮,房地(土地+建物),彰化縣和美鎮柑竹路３３１巷２６號之９,68.88,,鄉村區,乙種建築用地,1100504,土地6建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1111216,176.56,5,2,5,有,無,10900000,61735,,0.0,0,,RPTNMLRKPHIGFBN86DA,167.94,0.0,8.62,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之２２號,135.04,農,,,1100501,土地7建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,198.12,4,2,4,有,無,10300000,51989,,0.0,0,預售屋、或土地及建物分件登記案件；,RPRQMLRKPHIGFDN17DA,184.52,0.0,13.6,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之１６號,111.6,農,,,1100504,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,174.13,4,2,2,有,無,8900000,51111,,0.0,0,預售屋、或土地及建物分件登記案件；,RPWQMLRKPHIGFDN67DA,160.17,0.0,13.96,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之６號,116.51,農,,,1100505,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,180.54,4,2,3,有,無,9500000,52620,,0.0,0,預售屋、或土地及建物分件登記案件；,RPROMLRKPHIGFDN96DA,165.44,0.0,15.1,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之１８號,136.67,農,,,1100515,土地7建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,189.12,4,2,3,有,無,10000000,52876,,0.0,0,預售屋、或土地及建物分件登記案件；,RPUNMLTKPHIGFDN37DA,175.52,0.0,13.6,無,
田中鎮,房地(土地+建物),彰化縣田中鎮中山街１５１巷２２號,91.8,住,,,1100502,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1110930,197.62,4,3,3,有,無,10500000,53132,,0.0,0,,RPUNMLPLPHIGFEN17DA,187.81,0.0,9.81,無,
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮西環路１４７號,102.58,住,,,1100525,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1110906,201.67,4,3,4,有,無,18720000,92825,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLLMPHIGFHN96DA,198.36,0.0,3.31,有,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之２號,115.2,農,,,1100522,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,180.54,4,2,4,有,無,9400000,52066,,0.0,0,預售屋、或土地及建物分件登記案件；,RPSNMLRKPHIGFDN96DA,165.44,0.0,15.1,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之３６號,128.87,農,,,1100502,土地8建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,155.57,4,2,3,有,無,8500000,54638,,0.0,0,預售屋、或土地及建物分件登記案件；,RPOOMLLLPHIGFDN78DA,155.57,0.0,0.0,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之８號,111.12,農,,,1100529,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,159.62,3,2,3,有,無,8900000,55757,,0.0,0,預售屋、或土地及建物分件登記案件；,RPVOMLRKPHIGFDN37DA,146.79,0.0,12.83,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之３８號,128.96,農,,,1100501,土地8建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,155.57,3,2,3,有,無,8400000,53995,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPOMLLLPHIGFDN88DA,155.57,0.0,0.0,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之１７號,179.03,農,,,1100513,土地6建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,178.53,3,2,2,有,無,9800000,54893,,0.0,0,預售屋、或土地及建物分件登記案件；,RPQOMLLLPHIGFDN98DA,164.93,0.0,13.6,無,
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮銀錠路２３２巷１１６號,91.44,,特定農業區,甲種建築用地,1100526,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120308,167.9,4,3,3,有,無,7556000,45003,,0.0,0,,RPRNMLKMQHIGFHN86DA,155.04,0.0,12.86,無,
大村鄉,房地(土地+建物),彰化縣大村鄉旗田巷１３１弄１２５之３號,107.85,,特定農業區,甲種建築用地,1100410,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1120331,168.6,4,2,3,有,無,8000000,47450,,0.0,0,,RPTNMLKMOHIGFDN09DA,164.35,0.0,4.25,無,
伸港鄉,房地(土地+建物),彰化縣伸港鄉中山路１４２巷１５０弄２號,69.02,住,,,1100416,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120413,146.41,4,2,3,有,無,8480000,57920,,0.0,0,,RPTNMLKMOHIGFBN88DA,146.41,0.0,0.0,無,
伸港鄉,房地(土地+建物),彰化縣伸港鄉中山路１４２巷１５０弄８號,88.12,住,,,1100411,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120413,146.3,4,2,3,有,無,8850000,60492,,0.0,0,,RPVNMLKMOHIGFBN09DA,146.3,0.0,0.0,無,
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮鹿興路８８之１５號,113.7,,,,1100421,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120331,330.03000000000003,4,2,6,有,有,30860000,93507,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPNMLTJOHIGFCN56DA,294.7,0.0,9.59,有,
伸港鄉,房地(土地+建物),彰化縣伸港鄉中山路１４２巷１５０弄５號,77.12,住,,,1100412,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120413,146.41,4,2,3,有,無,8550000,58398,,0.0,0,,RPOOMLKMOHIGFBN48DA,146.41,0.0,0.0,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之２６號,135.17,農,,,1100429,土地7建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,176.5,3,2,3,有,無,9500000,53824,,0.0,0,預售屋、或土地及建物分件登記案件；,RPSQMLRKPHIGFDN27DA,162.54,0.0,13.96,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之１５號,113.47,農,,,1100424,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,174.07,4,2,2,有,無,8980000,51588,,0.0,0,預售屋、或土地及建物分件登記案件；,RPVQMLRKPHIGFDN57DA,160.76,0.0,13.31,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之３９號,134.06,農,,,1100428,土地8建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,187.55,4,2,5,有,無,10500000,55985,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPQMLRKPHIGFDN96DA,187.55,0.0,0.0,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之３號,116.9,農,,,1100418,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,180.81,3,2,3,有,無,9380000,51878,,0.0,0,預售屋、或土地及建物分件登記案件；,RPTNMLRKPHIGFDN07DA,165.44,0.0,15.37,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之２０號,134.91,農,,,1100425,土地7建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,186.13,4,2,3,有,無,10050000,53995,,0.0,0,預售屋、或土地及建物分件登記案件；,RPXNMLTKPHIGFDN67DA,172.82,0.0,13.31,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之１１號,130.84,農,,,1100430,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,188.19,4,2,3,有,無,10000000,53138,,0.0,0,預售屋、或土地及建物分件登記案件；,RPOPMLRKPHIGFDN76DA,173.09,0.0,15.1,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之４１號,157.81,農,,,1100424,土地8建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,187.55,4,2,5,有,無,11000000,58651,,0.0,0,預售屋、或土地及建物分件登記案件；,RPQQMLRKPHIGFDN07DA,187.55,0.0,0.0,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之７號,108.6,農,,,1100424,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,160.39,3,2,3,有,無,8800000,54866,,0.0,0,預售屋、或土地及建物分件登記案件；,RPTOMLRKPHIGFDN17DA,146.79,0.0,13.6,無,
大村鄉,房地(土地+建物),彰化縣大村鄉貢旗一巷３之９號,124.66,農,,,1100425,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120327,188.46,4,2,4,有,無,9800000,52000,,0.0,0,預售屋、或土地及建物分件登記案件；,RPWOMLRKPHIGFDN47DA,173.09,0.0,15.37,無,
員林市,房地(土地+建物)+車位,彰化縣員林市成功東路５６號三樓之７,30.4,住,,,1100409,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120118,103.69999999999999,3,2,2,有,有,8080000,77917,一樓平面,0.0,1200000,預售屋、或土地及建物分件登記案件；,RPPNMLMLPHIGFDN88DA,67.93,0.0,3.28,有,
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮平和路２８６號,144.7,,,,1100421,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120331,342.35,4,2,6,有,有,36280000,105973,,0.0,0,預售屋、或土地及建物分件登記案件；,RPQNMLSJQHIGFCN76DA,307.02,0.0,9.59,有,
和美鎮,房地(土地+建物),彰化縣和美鎮惠來二路３３號,125.64,住,,,1100325,土地1建物1車位0,全,四層,透天厝,其他,鋼筋混凝土造,1111005,255.39,5,2,6,有,無,22680000,88805,,0.0,0,其他增建；,RPQNMLTJOHIGFBN56DA,232.1,0.0,23.29,有,
秀水鄉,房地(土地+建物),彰化縣秀水鄉村西巷８２之９號,86.0,,特定農業區,甲種建築用地,1100310,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120213,141.63,4,2,3,有,無,7730000,54579,,0.0,0,本交易標的為透天厝，含前院停車。,RPQOMLNKOHIGFAN68DA,130.85,0.0,10.78,無,
秀水鄉,房地(土地+建物),彰化縣秀水鄉村西巷８２號,86.0,,特定農業區,甲種建築用地,1100309,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120213,141.63,4,2,3,有,無,8030000,56697,,0.0,0,本交易標的為透天厝，含前院停車。,RPROMLNKOHIGFAN78DA,130.85,0.0,10.78,無,
秀水鄉,房地(土地+建物),彰化縣秀水鄉村西巷８２之１６號,89.0,,特定農業區,甲種建築用地,1100313,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120213,144.08,4,2,3,有,無,7930000,55039,,0.0,0,本交易標的為透天厝，含前院停車。,RPUOMLNKOHIGFAN09DA,133.14,0.0,10.94,無,
秀水鄉,房地(土地+建物),彰化縣秀水鄉村西巷８２之３號,85.0,,特定農業區,甲種建築用地,1100315,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120213,141.63,4,2,3,有,無,7730000,54579,,0.0,0,本交易標的為透天厝，含前院停車。,RPVOMLNKOHIGFAN56DA,130.85,0.0,10.78,無,
秀水鄉,房地(土地+建物),彰化縣秀水鄉村西巷８２之５號,86.0,,特定農業區,甲種建築用地,1100311,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120213,141.63,4,2,3,有,無,7730000,54579,,0.0,0,本交易標的為透天厝，含前院停車。,RPWOMLNKOHIGFAN66DA,130.85,0.0,10.78,無,
秀水鄉,房地(土地+建物),彰化縣秀水鄉村西巷８２之７號,87.0,,特定農業區,甲種建築用地,1100311,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120213,141.63,4,2,3,有,無,7730000,54579,,0.0,0,本交易標的為透天厝，含前院停車。,RPXOMLNKOHIGFAN76DA,130.85,0.0,10.78,無,
秀水鄉,房地(土地+建物),彰化縣秀水鄉村西巷８２之１５號,87.0,,特定農業區,甲種建築用地,1100311,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120213,152.22,4,2,3,有,無,8030000,52753,,0.0,0,本交易標的為透天厝，含前院停車。,RPPPMLNKOHIGFAN68DA,140.44,0.0,11.78,無,
秀水鄉,房地(土地+建物),彰化縣秀水鄉村西巷８２之１７號,84.0,,特定農業區,甲種建築用地,1100313,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120213,152.22,4,2,3,有,無,8030000,52753,,0.0,0,本交易標的為透天厝，含前院停車。,RPQPMLNKOHIGFAN78DA,140.44,0.0,11.78,無,
秀水鄉,房地(土地+建物),彰化縣秀水鄉村西巷８２之１９號,125.0,,特定農業區,甲種建築用地,1100311,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120213,177.11,4,2,3,有,無,10150000,57309,,0.0,0,本交易標的為透天厝，含前院停車。,RPRPMLNKOHIGFAN88DA,166.99,0.0,10.12,無,
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮平和路２８２號,143.7,,,,1100317,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120331,346.84000000000003,4,2,6,有,無,36080000,104025,,0.0,0,土地交易總價：20566000元建物交易總價：15514000元預售屋、或土地及建物分件登記案件；,RPVNMLRJOHIGFCN96DA,311.51,0.0,9.59,無,
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮鹿興路８８之１２號,112.7,,,,1100317,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120331,330.67,4,2,6,有,無,30860000,93326,,0.0,0,土地交易總價：17590000元建物交易總價：13270000元預售屋、或土地及建物分件登記案件；,RPWNMLRJOHIGFCN07DA,295.34,0.0,9.59,無,
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮鹿興路８８之１３號,113.7,,,,1100317,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120331,330.67,4,2,6,有,無,30860000,93326,,0.0,0,土地交易總價：17590000元建物交易總價：13270000元預售屋、或土地及建物分件登記案件；,RPXNMLRJOHIGFCN17DA,295.34,0.0,9.59,無,
