編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPOMLKKPHIGFAU09DA,3,30.21,本共有部份之項目有停車空間及車道等２項,鋼筋混凝土造,109年1月15日,九層,,持分移轉
RPVNMLKKPHIGFAU96DA,32,218.58,住工用,鋼筋混凝土造,80年2月11日,三層,一層 二層 三層 陽台 防空避難室 屋頂突出物 見其他登記事項,全筆移轉
RPROMLKKPHIGFAU66DA,39,84.92,住家用,鋼筋混凝土加強磚造,73年12月11日,二層,一層 二層,全筆移轉
RPOOMLPJPHIGFAU76DA,,273.68,住家用,鋼筋混凝土造,112年5月9日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPTNMLKKPHIGFCU96DA,31,194.58,住家用,鋼筋混凝土造,81年1月10日,三層,一層 二層 三層 陽台 騎樓,全筆移轉
RPUNMLRJPHIGFAU47DA,4,35.13,本共有部分之項目有（防空避難室兼停車空間（編號１至３５號）、機電設備、騎樓、門廳、管委會使用空間、屋頂突出物〉,鋼筋混凝土造,108年9月25日,十二層,,持分移轉
RPWNMLRJPHIGFAU67DA,4,47.84,見其他登記事項,鋼筋混凝土造,108年9月25日,十二層,十二層 陽台,全筆移轉
RPWNMLRJPHIGFAU67DA,4,24.36,本共有部分之項目有（防空避難室兼停車空間（編號１至３５號）、機電設備、騎樓、門廳、管委會使用空間、屋頂突出物〉,鋼筋混凝土造,108年9月25日,十二層,,持分移轉
RPVNMLMKPHIGFAU17DA,,194.11,住家用,鋼筋混凝土造,112年5月22日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPPNMLKKPHIGFBU09DA,42,94.73,住家用,鋼筋混凝土加強磚造,70年4月20日,二層,一層 二層,全筆移轉
RPOOMLMKPHIGFAU56DA,43,95.51,住家用,鋼筋混凝土加強磚造,69年12月1日,二層,一層 二層,全筆移轉
RPPOMLMKPHIGFAU66DA,20,141.01,住家用,鋼筋混凝土造,92年10月13日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPXOMLMKPHIGFAU47DA,,199.79,住家用,鋼筋混凝土造,112年5月22日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPWOMLMKPHIGFAU37DA,30,90.06,住家用,鋼筋混凝土造,82年1月9日,七層,三層 陽台,全筆移轉
RPWOMLMKPHIGFAU37DA,30,10.36,共有部份,鋼筋混凝土造,82年1月9日,七層,,持分移轉
RPWOMLMKPHIGFAU37DA,30,.28,商業用,鋼筋混凝土造,82年1月9日,七層,地下層,持分移轉
RPWOMLMKPHIGFAU37DA,30,10.49,共有部份,鋼筋混凝土造,82年1月9日,七層,,持分移轉
RPWOMLMKPHIGFAU37DA,30,15.02,共有部份,鋼筋混凝土造,82年1月9日,七層,,持分移轉
RPROMLLKPHIGFAU76DA,48,105.44,住家用,鋼筋混凝土加強磚造,64年4月12日,二層,一層 二層,全筆移轉
RPSNMLMKPHIGFAU86DA,7,235.84,住家用,鋼筋混凝土造,105年2月26日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPTOMLQJPHIGFAU37DA,24,113.78,住家用,鋼筋混凝土造,88年5月20日,五層,四層 五層 陽台 見其他登記事項,全筆移轉
RPTOMLQJPHIGFAU37DA,24,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,,持分移轉
RPTOMLQJPHIGFAU37DA,24,25.67,共有部份,鋼筋混凝土造,88年5月20日,五層,,持分移轉
RPPQMLMKOHIGFAU76DA,29,75.65,住家用,鋼筋混凝土造,83年3月26日,六層,二層 陽台,全筆移轉
RPPQMLMKOHIGFAU76DA,29,32.50,共有部份,鋼筋混凝土造,83年3月26日,六層,,持分移轉
RPUNMLOJPHIGFAU17DA,28,24.67,住家用,鋼筋混凝土造,84年8月25日,七層,五層 陽台,全筆移轉
RPUNMLOJPHIGFAU17DA,28,15.71,共有部份,鋼筋混凝土造,84年8月25日,七層,,持分移轉
RPPOMLQKOHIGFAU96DA,27,122.97,住家用,鋼筋混凝土造,85年1月23日,七層,三層 陽台,全筆移轉
RPPOMLQKOHIGFAU96DA,27,40.92,共有部份,鋼筋混凝土造,85年1月23日,七層,,持分移轉
RPQOMLLKPHIGFAU66DA,20,202.10,住家用,鋼筋混凝土造,92年5月6日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPRPMLMKPHIGFAU96DA,,194.12,住家用,鋼筋混凝土造,112年5月22日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
