鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
左營區,房地(土地+建物)+車位,高雄市左營區海富路,0.0,,,,1120715,土地0建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.34,3,2,2,有,無,10900000,63058,坡道平面,20.27,1500000,交易總價含下列非屬預售屋價格之費用:地上權房屋；,RPPNMLLMPHIGFEE08CB,艾美綠河,A1棟3號,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區文享街,22.81,住,,,1120712,土地1建物1車位1,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.4,3,2,2,有,無,17970000,119724,坡道平面,31.68,2200000,,RPPNMLLMPHIGFGE28CB,泰緯皇居,A棟5號,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,16.21,住,,,1120722,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.56,0,2,2,有,無,11450000,102118,坡道平面,15.53,1950000,,RPQNMLLMPHIGFGE38CB,藏美東京都,C棟3號,
彌陀區,房地(土地+建物),高雄市彌陀區靖和街,90.0,住,,,1120718,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,201.35,6,2,4,有,無,14500000,72014,,0.0,0,,RPPNMLLMPHIGFFE18CB,路科苑,A8棟0號,
彌陀區,房地(土地+建物),高雄市彌陀區靖和街,90.0,住,,,1120729,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,201.35,6,2,4,有,無,14500000,72014,,0.0,0,,RPQNMLLMPHIGFFE28CB,路科苑,A13棟0號,
梓官區,房地(土地+建物)+車位,高雄市梓官區大舍北路三巷,26.86,,一般農業區,甲種建築用地,1120719,土地2建物1車位1,六層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,119.26,3,2,2,有,無,7900000,63501,一樓平面,13.75,1200000,,RPRNMLLMPHIGFFE38CB,田園休閒家,E棟2號,
梓官區,房地(土地+建物)+車位,高雄市梓官區大舍北路三巷,26.86,,一般農業區,甲種建築用地,1120718,土地2建物1車位1,七層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,120.51,3,2,2,有,無,8200000,64449,一樓平面,15.0,1400000,,RPSNMLLMPHIGFFE48CB,田園休閒家,E棟2號,
,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1120729,土地0建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.02,2,1,1,有,無,7000000,76273,坡道平面,27.6,1400000,總價含地上權標的價款224萬元交易總價含下列非屬預售屋價格之費用:地上權房屋；,RPPNMLLJQHIGFDE77CB,KS1,A2棟0號,
,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1120729,土地0建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.77,3,1,2,有,無,8580000,78754,坡道平面,27.6,1400000,總價含地上權標的價款287萬元交易總價含下列非屬預售屋價格之費用:地上權房屋；,RPQNMLLJQHIGFDE87CB,KS1,A7棟0號,
,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1120725,土地0建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.77,3,1,2,有,無,7900000,71295,坡道平面,27.6,1400000,總價含地上權標的價款260萬元交易總價含下列非屬預售屋價格之費用:地上權房屋；,RPSNMLLJQHIGFDE08CB,KS1,A7棟0號,
