鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
吉安鄉,建物,花蓮縣吉安鄉中央路三段６１２號三樓,0.0,住,,,1120621,土地0建物0車位0,三層,5,套房(1房1廳1衛),旅館,鋼筋混凝土造,1100224,21.48,1,0,1,有,無,有,7500,349,,0.0,0,,RPPNMLNLOHIGFAU76CC
吉安鄉,建物,花蓮縣吉安鄉中央路三段６１０號,0.0,住,,,1120625,土地0建物0車位0,三層,4,套房(1房1廳1衛),住商用,鋼筋混凝土造,0780112,23.8,1,0,1,有,無,有,7000,294,,0.0,0,,RPQNMLQLOHIGFAU17CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛一街６６巷３之２號２樓,22.14,商,,,1120605,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730919,107.41,2,2,1,有,無,有,15500,144,,0.0,0,,RPRNMLQLOHIGFAU27CC
花蓮市,房地(土地+建物),花蓮縣花蓮市富國路１４號四樓之三,10.61,住,,,1120528,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820920,78.42,2,1,2,有,有,有,10000,128,,0.0,0,,RPTNMLQLOHIGFAU47CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路２０號五樓１號,23.43,住,,,1120529,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760113,99.02,3,1,2,有,無,有,10000,101,,0.0,0,,RPUNMLQLOHIGFAU57CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里一街１６０號三樓之五,11.41,住,,,1120602,土地1建物1車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840316,42.730000000000004,1,0,1,有,有,有,7500,176,,0.0,0,,RPVNMLQLOHIGFAU67CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中正路３３６巷１弄１１號２樓,17.25,商,,,1120619,土地1建物1車位0,見其他登記事項,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841124,51.1,1,1,1,有,無,有,12000,235,,0.0,0,,RPUNMLSLOHIGFAU77CC
吉安鄉,建物,花蓮縣吉安鄉和平路一段７５號,0.0,住,,,1120626,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0940708,34.95,1,0,0,有,無,有,4000,114,,0.0,0,,RPWNMLSLOHIGFAU97CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉勝安二街１５３之２號二樓,11.62,住,,,1120615,土地1建物1車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840622,40.9,1,0,1,有,無,有,8000,196,,0.0,0,,RPPNMLSLOHIGFAU37DC
花蓮市,房地(土地+建物),花蓮縣花蓮市富安路１０６號四樓之一,5.53,商,,,1120610,土地1建物1車位0,四層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840825,46.95,1,0,1,有,有,有,6500,138,,0.0,0,,RPQNMLSLOHIGFAU47DC
花蓮市,房地(土地+建物),花蓮縣花蓮市民德四街９號六樓之二,17.34,住,,,1120610,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0811121,145.29000000000002,3,2,2,有,無,有,18000,124,,0.0,0,,RPRNMLSLOHIGFAU57DC
