鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
龜山區,建物,桃園市龜山區華亞三路３９巷１６號五樓之７,0.0,住,,,1120608,土地0建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091104,129.64,3,1,1,有,有,有,19000,157,坡道平面,27.64,3000,社會住宅 管理費水電費由承租人負擔,RPTNMLTJOHIGFHH96CC
龜山區,建物,桃園市龜山區萬壽路一段３８８之３號１８樓,0.0,住,,,1120602,土地0建物1車位1,十八層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840126,132.94,3,2,2,有,有,有,19800,149,坡道平面,0.0,2800,社會住宅 管理費另計1000元,RPUNMLTJOHIGFHH07CC
龜山區,建物,桃園市龜山區文化三路７８巷５６弄６號二樓,0.0,住,,,1120607,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850502,127.25999999999999,3,1,2,有,無,有,18000,141,,0.0,0,每月水電瓦斯、網路費由承租人另外負擔。,RPVNMLTJOHIGFHH17CC
龜山區,建物,桃園市龜山區壽福街２６號四樓,0.0,住,,,1120607,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690806,87.33,3,1,1,有,無,有,9000,103,,0.0,0,社會住宅由承租人自付水電等費用,RPWNMLTJOHIGFHH27CC
桃園區,房地(土地+建物),桃園市桃園區樹仁三街５６號,36.17,住,,,1120529,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1030910,202.36,0,0,0,無,有,無,85000,420,,0.0,0,,RPTNMLTJOHIGFAH98DC
平鎮區,土地,廣平段647地號,158.85,住,,,1120609,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,60000,378,,0.0,0,,RPQNMLTJOHIGFGH66DC
八德區,土地,興豐段2565地號,332.65,住,,,1120520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,34134,103,,0.0,0,,RPPNMLTJOHIGFFH09DC
龜山區,房地(土地+建物),桃園市龜山區萬壽路二段１４３９號,24.24,住,,,1120524,土地1建物1車位0,見其他登記事項,15,住宅大樓(11層含以上有電梯),店舖、集合住宅,鋼筋混凝土造,1071026,155.45999999999998,0,0,0,無,有,無,45511,293,,0.0,0,,RPPNMLTJOHIGFHH66DC
中壢區,房地(土地+建物),桃園市中壢區龍平六街７１號,84.25,住,,,1120519,土地2建物1車位0,全,3,透天厝,住家用,加強磚造,0770608,90.24,1,4,2,有,無,有,20000,222,,0.0,0,雙方約定簽約日為112年5月19日起租日於112年6月1日開始計自至113年5月31日水.電.瓦斯費由承租方支付,RPPNMLTJOHIGFBH58CC
觀音區,建物,桃園市觀音區永吉街１２３號,0.0,,工業區,丁種建築用地,1120525,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),工業社區（社區住宅）,鋼筋混凝土造,1081224,119.16,2,1,2,有,有,有,13500,113,,0.0,0,社會住宅,RPQNMLTJOHIGFBH68CC
