鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
三星鄉,房地(土地+建物),宜蘭縣三星鄉大埔中路２６５巷１之１號,85.45,,鄉村區,乙種建築用地,1120518,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120419,150.43,4,2,4,有,無,9800000,65147,,0.0,0,,RPXOMLTJOHIGFAG56DA,137.4,0.0,13.03,無,0092
三星鄉,房地(土地+建物),宜蘭縣三星鄉大埔中路２６５巷３號,81.41,,鄉村區,乙種建築用地,1120515,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120419,137.83,4,2,4,有,無,8060000,58478,,0.0,0,,RPUOMLTJOHIGFAG88DA,128.08,0.0,9.75,無,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮天祥路６３號四樓,24.12,住,,,1120516,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820629,102.75,4,3,2,有,有,6200000,60341,,0.0,0,機車位*1夾層；,RPUNMLSJOHIGFAG68DA,66.19,20.79,11.62,有,
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉廣安路６３號二樓,47.91,,特定農業區,甲種建築用地,1120501,土地1建物1車位1,二層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110627,129.59,3,2,2,有,無,7600000,58647,一樓平面,0.0,0,,RPWOMLRJOHIGFAG88DA,70.36,0.0,9.34,有,0385
冬山鄉,土地,福丸段88地號,319.17,,鄉村區,乙種建築用地,1120517,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6233000,19529,,0.0,0,政府機關標讓售；,RPOPMLOLNHIGFAG97DA,0.0,0.0,0.0,無,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮重陽街９５巷２１弄１１號,82.0,住,,,1120529,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0651103,100.3,4,2,2,有,無,6400000,63809,,0.0,0,頂樓、一樓空地增建約20坪其他增建；,RPQNMLMJOHIGFAG67DA,100.3,0.0,0.0,無,0386
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮和平路２７號,136.0,商,,,1120508,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0540413,219.6,5,2,3,有,無,19600000,89253,,0.0,0,其他增建：1、2、3樓後方，3樓全部旁邊水泥，屋頂鐵皮其他增建；,RPVOMLRJOHIGFAG78DA,219.6,0.0,0.0,無,
冬山鄉,土地,八仙段471地號,1729.0,,特定農業區,農牧用地,1120527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7400000,4280,,0.0,0,,RPWNMLNKOHIGFAG48DA,0.0,0.0,0.0,無,0387
三星鄉,房地(土地+建物),宜蘭縣三星鄉大隱五路２９２巷６號,160.18,,特定農業區,甲種建築用地,1120512,土地4建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0840908,220.68,6,2,3,有,無,5200000,23564,,0.0,0,陽台外推；,RPOPMLTJOHIGFAG38DA,190.61,30.07,0.0,無,
蘇澳鎮,土地,南安段1424地號,55.0,工,,,1120509,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3860000,70182,,0.0,0,未登記建物；,RPPNMLMKOHIGFAG67DA,0.0,0.0,0.0,無,
