編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTPMLSLQHIGFAI76DA,,219.70,店舖、住宅、樓梯間,鋼筋混凝土造,112年7月4日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPTOMLSLQHIGFAI66DA,,317.85,店舖、住宅、樓梯間,鋼筋混凝土造,112年6月27日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPUPMLSLQHIGFAI86DA,,212.78,店舖、住宅、樓梯間,鋼筋混凝土造,112年7月4日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPVOMLSLQHIGFAI86DA,,333.69,店舖、住宅、樓梯間,鋼筋混凝土造,112年6月27日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPOPMLSLQHIGFAI88DA,,265.51,住宅、樓梯間,鋼筋混凝土造,112年6月27日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPPPMLSLQHIGFAI98DA,,265.51,住宅、樓梯間,鋼筋混凝土造,112年6月27日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPSNMLLMPHIGFAI38DA,,67.20,辦公室,鋼筋混凝土構造,111年10月19日,五層,一層 見其他登記事項,全筆移轉
RPSNMLLMPHIGFAI38DA,,3.01,本共有部分之項目有樓梯間、一般昇降機、梯廳、管委會、停車空間、機械室、機械房、電梯間及水箱等九項,鋼筋混凝土構造,111年10月19日,五層,,持分移轉
RPQPMLSLQHIGFAI09DA,,278.44,住宅、樓梯間,鋼筋混凝土造,112年6月27日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPSNMLLMPHIGFAI38DA,,8.28,本共有部分之項目有梯廳、樓梯間及一般昇降機等三項,鋼筋混凝土構造,111年10月19日,五層,,持分移轉
RPUNMLQKOHIGFAI78DA,,906.79,產後護理機構、機電設備空間、樓梯間,鋼筋混凝土構造,112年4月10日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPSNMLQJOHIGFAI48DA,,302.37,店鋪、集合住宅、樓梯間、水塔放置空間,鋼筋混凝土構造,111年1月21日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPSNMLQJOHIGFAI48DA,,.04,本共有部分之項目有管理維護空間１項,鋼筋混凝土構造,111年1月21日,一層,,持分移轉
RPSNMLQJOHIGFAI48DA,,.14,本共有部分之項目有電信室１項,鋼筋混凝土構造,111年1月21日,一層,,持分移轉
RPVNMLTKNHIGFAI09DA,15,205.26,住家用,鋼筋混凝土構造,97年11月6日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPUNMLTKNHIGFAI98DA,19,115.58,住家用,鋼筋混凝土造,93年11月1日,十四層,三層 陽台,全筆移轉
RPUNMLTKNHIGFAI98DA,19,71.46,共有部份,鋼筋混凝土造,93年11月1日,十四層,,持分移轉
RPPNMLPKNHIGFAI08DA,,193.16,店舖、辦公室,鋼筋混凝土構造,112年1月4日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLLKMHIGFAI57DA,,263.41,店舖、住宅、樓梯間,鋼筋混凝土構造,112年1月6日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
