鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
二林鎮,房地(土地+建物),彰化縣二林鎮照西南路２５６號,130.74,住,,,1120518,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,1080220,245.04,4,2,3,有,無,有,23000,94,,0.0,0,,RPPNMLOKOHIGFGN66CC
二林鎮,房地(土地+建物),彰化縣二林鎮長安路１０之２號,84.81,住,,,1120525,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1090622,89.71,3,1,3,有,無,有,11000,123,,0.0,0,,RPPNMLPKOHIGFGN76CC
員林市,房地(土地+建物),彰化縣員林市大同路二段５８號２樓,146.0,住,,,1120616,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0821104,96.48,4,1,2,有,無,有,15000,155,,0.0,0,,RPPNMLQKOHIGFDN56CC
伸港鄉,房地(土地+建物),彰化縣伸港鄉仁愛路１１號,102.0,住,,,1120613,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0660614,150.57,4,2,4,有,無,有,12000,80,,0.0,0,,RPPNMLTKOHIGFBN66CC
員林市,房地(土地+建物),彰化縣員林市員林大道六段４０３號,435.05,住,,,1120531,土地1建物1車位0,見其他登記事項,2,店面(店鋪),店鋪、住宅,鋼骨造有牆,1101222,510.81,0,0,0,無,無,有,85000,166,,0.0,0,,RPPNMLKLOHIGFDN68CC
員林市,建物,彰化縣員林市博愛路２５巷５號,51.0,住,,,1120602,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0660611,39.53,1,1,1,有,無,有,12000,304,,0.0,0,,RPQNMLKLOHIGFDN78CC
芬園鄉,土地,彰崙段804地號,615.66,,鄉村區,乙種建築用地,1120608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,25000,41,,0.0,0,,RPPNMLKLOHIGFAN38CC
彰化市,土地,彰化段西門小段68地號,49.0,商,,,1120619,土地3建物0車位0,,,其他,,,,0.0,2,0,0,有,無,有,29000,592,,0.0,0,包含未保存登記建物門牌:彰化市中正路二段74號,RPPNMLLLOHIGFAN48CC
彰化市,房地(土地+建物)+車位,彰化縣彰化市華山路６９號四樓之７,18.07,商,,,1120625,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110504,74.52,2,1,1,有,有,有,19800,266,坡道平面,33.41,0,此租金內含管理費及清潔費及車位費用,RPQNMLQLOHIGFAN09CC
彰化市,建物,彰化縣彰化市建寶街１３２巷１５號,84.0,住,,,1120624,土地0建物0車位0,三層,2,套房(1房1廳1衛),住家用,鋼筋混凝土加強磚造,0641014,16.5,1,0,1,有,無,有,5000,303,,0.0,0,三樓為未保存登記建物，出租三樓套房,RPRNMLQLOHIGFAN56CC
和美鎮,房地(土地+建物),彰化縣和美鎮彰美路五段１４號１樓,94.0,住,,,1120602,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0771008,57.71,4,1,3,有,無,無,26169,453,,0.0,0,承租一樓店面,RPPNMLRLOHIGFBN66DC
員林市,房地(土地+建物)+車位,彰化縣員林市大勇街８３號１F,273.82,住,,,1120626,土地1建物1車位1,全,4,透天厝,住宅、停車空間,鋼筋混凝土造,1110119,150.96,0,0,0,無,無,有,35000,232,一樓平面,0.0,0,,RPPNMLSLOHIGFDN86CC
彰化市,房地(土地+建物)+車位,彰化縣彰化市向陽街６１巷３號８樓,34.44,住,,,1120629,土地1建物1車位1,見其他登記事項,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810117,147.53,5,2,3,有,有,有,19000,129,坡道平面,0.0,0,,RPPNMLNJPHIGFAN58CC
彰化市,房地(土地+建物),彰化縣彰化市曉陽路９５號５樓,12.36,住,,,1120701,土地1建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870610,147.61,4,2,2,有,有,有,19000,129,,0.0,0,,RPQNMLNJPHIGFAN68CC
彰化市,房地(土地+建物),彰化縣彰化市曉陽路５８號７樓,60.5,住,,,1120701,土地1建物1車位0,七層,9,辦公商業大樓,住家用,鋼筋混凝土加強磚造,0550702,184.1,0,0,1,有,無,有,28444,155,,0.0,0,,RPRNMLNJPHIGFAN78CC
埔鹽鄉,土地,出水段156地號,377.99,,鄉村區,乙種建築用地,1120607,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,28000,74,,0.0,0,,RPPNMLNJPHIGFHN66CC
大村鄉,房地(土地+建物),彰化縣大村鄉中興街４２號,77.22,,鄉村區,乙種建築用地,1120701,土地1建物1車位0,全,1,透天厝,住家用,加強磚造,0640603,67.25,6,3,3,有,無,無,15000,223,,0.0,0,,RPPNMLOJPHIGFDN98CC
員林市,建物,彰化縣員林市中山路一段６２９號,0.0,商,,,1120701,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),騎樓、停車空間、樓梯間、住宅、水塔間、電梯機房,鋼筋混凝土造,1070815,29.75,0,0,0,無,無,有,14400,484,,0.0,0,A302號房,RPPNMLPJPHIGFDN09CC
員林市,房地(土地+建物),彰化縣員林市中山路二段１５４號,88.77,住,,,1120612,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0720627,53.34,0,0,0,無,無,有,18000,337,,0.0,0,,RPPNMLQJPHIGFDN56CC
彰化市,房地(土地+建物)+車位,彰化縣彰化市埔陽街２７２號１４樓之１,26.01,住,,,1120413,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091119,126.41,3,2,2,有,有,有,26000,206,升降機械,0.0,0,,RPQNMLLKPHIGFAN58CC
埔鹽鄉,房地(土地+建物),彰化縣埔鹽鄉光明路一段５１之３１號,142.3,,鄉村區,乙種建築用地,1120618,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0830226,170.13,4,3,2,有,無,無,10000,59,,0.0,0,,RPPNMLLKPHIGFHN56CC
溪湖鎮,土地,西安段960-4地號,155.0,,鄉村區,乙種建築用地,1120621,土地1建物0車位0,,,其他,,,,0.0,3,0,0,有,無,無,6000,39,,0.0,0,,RPQNMLLKPHIGFHN66CC
大村鄉,建物,彰化縣大村鄉山腳路９６之１３號１樓１０３室,0.0,,鄉村區,乙種建築用地,1120626,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010525,29.950000000000003,1,0,1,有,有,有,2945,98,,0.0,0,共有部分為扣除地下室未承租面積社會住宅包租代管案件租金市價打9折，此租約訂定租金不含管理費、車位租金費用，費用由承租人另行支付。土地所有權人非建物所有權人，故土地持分面積無法計算。機車停車位  100元/個/月  共1個,RPPNMLMKPHIGFDN88CC
大村鄉,建物,彰化縣大村鄉山腳路９６之１５號２樓２樓２０５室,0.0,,鄉村區,乙種建築用地,1120626,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010525,29.950000000000003,1,0,1,有,有,有,4711,157,,0.0,0,共有部分扣除地下室未承租面積社會住宅包租代管案件租金市價打9折，此租約訂定租金不含管理費、車位租金，費用由承租人另行支付。土地所有權人非建物所有權人，故土地持分面積無法計算。機車停車位  100元/個/月  共2個,RPQNMLMKPHIGFDN98CC
和美鎮,房地(土地+建物),彰化縣和美鎮平順路５８號,285.0,住,,,1120621,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住家用,鋼筋混凝土造,0961203,586.13,7,2,5,有,無,有,80000,136,,0.0,0,內附兩台冷氣1台熱水器,RPPNMLNKPHIGFBN78CC
員林市,房地(土地+建物),彰化縣員林市新生路６３９號,85.93,住,,,1120710,土地1建物1車位0,全,4,透天厝,住宅,鋼筋混凝土造,1090121,175.57,5,2,5,有,無,有,35000,199,,0.0,0,,RPPNMLRKPHIGFDN76CC
秀水鄉,房地(土地+建物),彰化縣秀水鄉平安路１０２.１０６號,1037.5,工,,,1120522,土地2建物2車位0,一層,1,廠辦,倉儲,鋼骨造,1110901,377.71,0,0,0,無,無,有,120000,318,,0.0,0,,RPPNMLRKPHIGFAN09CC
員林市,房地(土地+建物),彰化縣員林市中正路５６７號,63.0,商,,,1120713,土地2建物1車位0,見其他登記事項,4,店面(店鋪),住工用,鋼筋混凝土造,0710709,208.08,5,1,4,有,無,有,30000,144,,0.0,0,,RPPNMLLLPHIGFDN88CC
員林市,房地(土地+建物),彰化縣員林市光復街３２號，３２-１號，３２-２號,521.0,商,,,1120718,土地3建物3車位0,見其他登記事項,2,店面(店鋪),商業用,鋼筋混凝土加強磚造,0451210,447.7,0,0,0,無,無,無,125000,279,,0.0,0,,RPQNMLLLPHIGFDN98CC
員林市,建物,彰化縣員林市南平三街３號,33.42,住,,,1120712,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0830201,77.61,0,1,1,有,有,有,10000,129,,0.0,0,,RPRNMLLLPHIGFDN09CC
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮工業西七路１８號,4720.94,,工業區,丁種建築用地,1120719,土地1建物1車位0,見其他登記事項,1,工廠,廠房,鋼骨造、鋼筋混凝土造,1090827,2716.28,0,0,0,無,無,無,441000,,,0.0,0,,RPPNMLPLPHIGFCN56CC
埔鹽鄉,土地,光明段746地號,337.35,,特定農業區,農牧用地,1120520,土地2建物0車位0,,,其他,,,,0.0,2,0,0,有,無,有,10000,30,,0.0,0,,RPSNMLPLPHIGFHN37CC
埔鹽鄉,土地,光明段746地號,337.35,,特定農業區,農牧用地,1120521,土地2建物0車位0,,,其他,,,,0.0,1,0,0,有,無,無,7000,21,,0.0,0,,RPTNMLPLPHIGFHN47CC
二林鎮,房地(土地+建物),彰化縣二林鎮二溪路一段５８號,181.98,住,,,1120723,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,加強磚造,0650310,59.39,1,1,1,有,無,有,15000,253,,0.0,0,,RPPNMLQLPHIGFGN07CC
秀水鄉,房地(土地+建物),彰化縣秀水鄉平安路１０８號,379.89,工,,,1120608,土地1建物1車位0,一層,1,倉庫,倉儲,鋼骨造,1110901,186.76,0,0,0,無,無,有,75000,,,0.0,0,,RPQNMLRLPHIGFAN66CC
秀水鄉,房地(土地+建物),彰化縣秀水鄉安東村彰水路一段６４巷５２號,70.61,住,,,1120625,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0761005,90.9,4,2,3,有,無,有,23800,262,,0.0,0,,RPPNMLSLPHIGFAN66CC
秀水鄉,土地,新東興段320-1地號,275.83,商,,,1120717,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,30000,109,,0.0,0,,RPQNMLSLPHIGFAN76CC
秀水鄉,房地(土地+建物),彰化縣秀水鄉中山路３３５號,91.09,住,,,1120715,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住家用,鋼筋混凝土造,0731224,162.99,5,3,5,有,無,無,22000,135,,0.0,0,,RPPNMLLMPHIGFAN68CC
彰化市,建物,彰化縣彰化市埔內街４８０巷２弄２號,162.0,住,,,1120725,土地0建物0車位0,四層,4,套房(1房1廳1衛),住家用,鋼筋混凝土加強磚造,0590302,86.7,15,4,14,有,無,有,6300,73,,0.0,0,此為透天分租套房出租 只出租裡面其中一間套房!!,RPPNMLLJQHIGFAN48CC
彰化市,房地(土地+建物),彰化縣彰化市彰南路一段２６７巷３０號,456.0,,特定農業區,丁種建築用地,1120717,土地2建物1車位0,見其他登記事項,4,工廠,作業廠房，工廠附屬辦公室，機械室，機房,鋼骨造,1120410,967.28,0,0,0,無,無,有,168000,,,0.0,0,1.112年9月1日至112年9月30日為裝潢期免租金2.112年10月1日至116年8月31日每月租金為168000元整含稅3.116年9月1日至117年8月31日每月租金173040元整含稅,RPQNMLLJQHIGFAN58CC
花壇鄉,房地(土地+建物),彰化縣花壇鄉永春街４２巷２６弄１號,83.31,,特定農業區,特定目的事業用地,1120704,土地1建物1車位0,全,4,透天厝,住家、停車空間,鋼筋混凝土造,0840622,132.1,2,2,2,有,無,有,13000,98,,0.0,0,,RPRNMLLJQHIGFAN68CC
彰化市,房地(土地+建物),彰化縣彰化市福鎮街７０號,65.7,住,,,1120727,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0721206,141.94,6,3,3,有,無,有,23000,162,,0.0,0,,RPPNMLNJQHIGFAN68CC
員林市,建物,彰化縣員林市林森路１號,0.0,住,,,1120722,土地0建物0車位0,五層,6,套房(1房1廳1衛),廠房、倉庫、宿舍、辦公室,鋼筋混凝土造,0791120,22.25,1,1,1,有,無,有,4800,216,,0.0,0,,RPPNMLNJQHIGFDN98CC
員林市,房地(土地+建物),彰化縣員林市大同路二段１９１號１樓,318.0,住,,,1120720,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0810729,104.33,1,0,1,有,無,無,12000,115,,0.0,0,,RPQNMLNJQHIGFDN09CC
彰化市,房地(土地+建物),彰化縣彰化市民生路２３號２樓,44.57,商,,,1120805,土地1建物1車位0,二層,8,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0720714,49.58,4,2,2,有,無,有,8800,177,,0.0,0,,RPPNMLRJQHIGFAN09CC
彰化市,房地(土地+建物),彰化縣彰化市民生路２３號３樓１室,44.57,商,,,1120804,土地1建物1車位0,三層,8,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0720714,89.33,4,1,2,有,無,有,7700,86,,0.0,0,,RPQNMLRJQHIGFAN56CC
彰化市,土地,南郭段南郭小段562-1地號,328.0,住,,,1120726,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,39800,121,,0.0,0,,RPRNMLRJQHIGFAN66CC
員林市,建物,彰化縣員林市光明街２９９號１樓,0.0,商,,,1120727,土地0建物1車位0,一層,7,店面(店鋪),商場、停車場,鋼筋混凝土造,0770627,374.0,0,0,0,無,有,無,110000,294,,0.0,0,,RPPNMLSJQHIGFDN86CC
