鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,建物,高雄市鼓山區美術東四路２３０號十一樓,0.0,住,,,1120722,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951013,81.28999999999999,2,2,1,有,有,有,18500,228,,0.0,0,租金含管理費。租賃範圍不含車位，已扣除車位面積。,RPRNMLLMPHIGFAE97CC
苓雅區,建物,高雄市苓雅區英義街１１１巷７之１號,0.0,住,,,1120722,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680627,73.66,3,1,1,有,無,有,12000,163,,0.0,0,,RPPNMLLMPHIGFBE87CC
新興區,建物,高雄市新興區南華路１９８號六樓之５,0.0,商,,,1120724,土地0建物1車位0,六層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0940803,36.980000000000004,1,1,1,有,有,有,10000,270,,0.0,0,此為住都中心包租代管計畫之物件，評定市價租金為11112元，選擇代管方案需打 9折，實際租賃契約金額為10000元 。每月水電、瓦斯費由承租人另外負擔。,RPQNMLLMPHIGFBE97CC
苓雅區,房地(土地+建物),高雄市苓雅區中正二路１８６號三樓之６,6.31,商,,,1120729,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土,1100201,86.41,2,2,1,有,無,有,22000,255,,0.0,0,,RPRNMLLMPHIGFBE08CC
前鎮區,建物,高雄市前鎮區育樂路２０號十三樓之５,0.0,其他,,,1120724,土地0建物1車位1,十三層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871117,133.85000000000002,3,2,2,有,有,有,17500,131,坡道機械,13.51,0,,RPPNMLLMPHIGFCE97CC
前鎮區,房地(土地+建物),高雄市前鎮區復興三路２６號二十四樓之３,11.8,其他,,,1120714,土地1建物1車位0,二十四層,29,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土,1071102,137.32,3,2,2,有,有,有,32000,233,,0.0,0,,RPQNMLLMPHIGFCE08CC
前鎮區,房地(土地+建物),高雄市前鎮區廣西路２０７號十樓之５,14.49,住,,,1120722,土地1建物1車位0,十層,16,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土,1070620,97.96000000000001,2,2,1,有,有,有,25000,255,,0.0,0,,RPSNMLLMPHIGFCE28CC
前鎮區,建物,高雄市前鎮區和平二路１２７之１號二樓之１０,0.0,住,,,1120725,土地0建物1車位0,二層,8,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土,1111027,32.89,1,0,1,有,無,有,8300,252,,0.0,0,電費及每月水費200元、管理服務費700元由承租人另外負擔。,RPTNMLLMPHIGFCE38CC
三民區,建物,高雄市三民區平等路２３巷２４之４號,0.0,住,,,1120720,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681123,29.9,1,0,0,無,無,有,6000,201,,0.0,0,分租套房一間,RPPNMLLMPHIGFDE08CC
三民區,房地(土地+建物),高雄市三民區同盟一路９３號八樓之８,9.56,住,,,1120702,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土,1111013,67.05000000000001,2,1,1,有,有,有,19000,283,,0.0,0,,RPQNMLLMPHIGFDE18CC
三民區,房地(土地+建物),高雄市三民區大豐二路４７８號１６樓之１,2.13,商,,,1120726,土地1建物1車位0,十六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850729,27.79,1,0,1,有,有,有,8500,306,,0.0,0,,RPRNMLLMPHIGFDE28CC
三民區,房地(土地+建物),高雄市三民區懷安街１６６號四樓,12.85,住,,,1120721,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土,1100709,95.41,2,2,2,有,有,有,25000,262,,0.0,0,,RPSNMLLMPHIGFDE38CC
三民區,房地(土地+建物),高雄市三民區同盟一路９３號十五樓之２,9.06,住,,,1120715,土地1建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土,1111013,66.57,2,1,1,有,有,有,20000,300,,0.0,0,,RPTNMLLMPHIGFDE48CC
三民區,房地(土地+建物),高雄市三民區陽明路３２４巷３號三樓,44.0,住,,,1120723,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0751229,131.98,3,2,2,有,無,有,17000,129,,0.0,0,,RPUNMLLMPHIGFDE58CC
三民區,建物,高雄市三民區河堤路５３４號,0.0,住,,,1120719,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0861220,73.38,1,3,3,有,有,有,12450,170,,0.0,0,部分承租。租金含管理費及水費。本物件共有兩位承租方。,RPVNMLLMPHIGFDE68CC
三民區,房地(土地+建物),高雄市三民區建國三路３８９號二樓,10.16,商,,,1120715,土地1建物1車位0,二層,21,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1091106,147.85999999999999,2,2,2,有,有,有,30000,203,,0.0,0,,RPWNMLLMPHIGFDE78CC
三民區,房地(土地+建物),高雄市三民區九如二路５８３號３樓,28.6,商,,,1120703,土地1建物1車位0,三層,12,辦公商業大樓,,鋼筋混凝土造,0800509,388.99,5,2,1,有,無,有,27000,69,,0.0,0,,RPPNMLLJQHIGFDE87CC
三民區,建物,高雄市三民區鼎力路８８之１號四樓,0.0,商,,,1120717,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870507,78.93,2,1,1,有,有,有,15000,190,,0.0,0,,RPQNMLLJQHIGFDE97CC
三民區,建物,高雄市三民區建國二路１６號七樓之７,0.0,商,,,1120718,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0690722,55.78,2,0,2,有,有,有,8300,149,,0.0,0,,RPRNMLLJQHIGFDE08CC
三民區,建物,高雄市三民區河北二路１１２之６號十二樓,0.0,商,,,1120710,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871113,121.77000000000001,3,2,2,有,有,有,15000,123,,0.0,0,,RPSNMLLJQHIGFDE18CC
三民區,建物,高雄市三民區民孝路５９號九樓,0.0,商,,,1120717,土地0建物1車位0,九層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880930,87.19,2,1,1,有,有,有,13500,155,,0.0,0,,RPTNMLLJQHIGFDE28CC
