鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
烏日區,土地,新同安厝段463地號,310.19,,特定專用區,特定目的事業用地,1120308,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2115473,6820,,0.0,0,協議價購；,RPQSMLMKPHIGFIB68DA,0.0,0.0,0.0,無,03288
沙鹿區,房地(土地+建物),臺中市沙鹿區南斗路７７巷１１１號,103.75,住,,,1120315,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120202,188.96,5,2,3,有,無,12000000,63506,,0.0,0,,RPPNMLKLPHIGFFB77EA,175.91,0.0,13.05,無,
沙鹿區,房地(土地+建物),臺中市沙鹿區南斗路７７巷１０５號,105.15,住,,,1120315,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120202,188.96,5,2,3,有,無,12600000,66681,,0.0,0,,RPQNMLKLPHIGFFB87EA,175.91,0.0,13.05,無,
沙鹿區,房地(土地+建物),臺中市沙鹿區南斗路７７巷１１５號,102.82,住,,,1120315,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120202,188.96,5,2,3,有,無,12880000,68163,,0.0,0,,RPRNMLKLPHIGFFB97EA,175.91,0.0,13.05,無,
北屯區,土地,倡和段116-2地號,373.08,住,,,1120302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,70000000,187627,,0.0,0,,RPSOMLOKPHIGFBB97DA,0.0,0.0,0.0,無,
大肚區,土地,北王田段350地號,662.6,工,,,1120308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,45400000,68518,,0.0,0,,RPRNMLLLPHIGFKB48DA,0.0,0.0,0.0,無,
北屯區,房地(土地+建物),臺中市北屯區天祥街５３號,44.0,住,,,1120324,土地2建物1車位0,全,一層,透天厝,住家用,加強磚造,0560206,28.98,2,1,3,有,無,7200000,248447,,0.0,0,其他增建；未登記建物；,RPPRMLOLPHIGFBB08DA,28.98,0.0,0.0,無,03289
沙鹿區,房地(土地+建物),臺中市沙鹿區南斗路７７巷１１３號,103.29,住,,,1120326,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120202,188.96,4,3,3,有,無,13000000,68798,,0.0,0,,RPPNMLKMLHIGFFB37DA,175.91,0.0,13.05,無,
北屯區,房地(土地+建物),臺中市北屯區和順路５５９號七樓,22.75,住,,,1120330,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791228,123.67999999999999,3,2,2,有,有,7750000,62657,,0.0,0,其他增建；,RPPQMLKLOHIGFBB47DA,95.0,0.0,10.41,有,
大雅區,土地,三和段1202地號,48.0,農,,,1120325,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1161600,24200,,0.0,0,,RPUNMLQLOHIGFHB88DA,0.0,0.0,0.0,無,
后里區,土地,四月段759地號,3016.12,,特定農業區,農牧用地,1120318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,16420000,5444,,0.0,0,,RPQNMLRLPHIGFDB28DA,0.0,0.0,0.0,無,
西屯區,土地,上石碑段1008-2地號,49.17,,,,1120309,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3920000,79723,,0.0,0,包含公共設施保留地用地；,RPPQMLOJPHIGFCB87DA,0.0,0.0,0.0,無,00658
外埔區,房地(土地+建物),臺中市外埔區甲后路五段１８５巷５９弄７號,80.45,,鄉村區,乙種建築用地,1120322,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1120316,187.69,3,4,4,有,有,13020000,69370,,0.0,0,,RPWNMLOLPHIGFEB68DA,176.61,0.0,6.86,無,
西區,房地(土地+建物),臺中市西區精誠２４街５號６樓之１０,9.23,住,,,1120326,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820713,59.730000000000004,1,1,1,有,有,4450000,74502,,0.0,0,,RPUNMLRJPHIGFAB18DA,36.95,0.0,0.0,有,03291
清水區,房地(土地+建物),臺中市清水區南新路１２８巷２８號,111.0,住,,,1120313,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1111124,219.48,4,2,5,有,無,17000000,77456,,0.0,0,,RPVNMLKLLHIGFFB87DA,202.13,0.0,17.35,無,
大雅區,房地(土地+建物),臺中市大雅區昌平路四段２８２北一巷４３號,76.9,農,,,1120313,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840719,166.2,4,3,3,有,無,13500000,81227,,0.0,0,其他增建；,RPXNMLOKPHIGFHB98DA,138.25,27.95,0.0,無,
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩三街１３５號十一樓之１,16.13,商,,,1120322,土地1建物1車位2,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120215,235.57999999999998,4,2,2,有,有,28550000,142192,坡道平面,61.52,3800000,,RPUQMLSLPHIGFCB98DA,105.57,0.0,10.2,有,
南區,房地(土地+建物)+車位,臺中市南區建國南路一段１５５號４樓,45.24,住,,,1120311,土地4建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801101,169.35,4,2,2,有,有,13000000,76764,坡道平面,0.0,0,,RPSNMLLLPHIGFAB57DA,156.42,0.0,9.78,有,03292
北屯區,房地(土地+建物)+車位,臺中市北屯區敦化路一段４８８號十二樓,18.01,住,,,1120325,土地2建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820527,151.11,4,2,2,有,有,9810000,64920,坡道平面,0.0,0,,RPXNMLLJQHIGFBB08DA,122.42,0.41,12.97,有,03293
北屯區,房地(土地+建物)+車位,臺中市北屯區松和街２３９之２號,22.84,住,,,1120329,土地1建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110905,122.4,2,2,1,有,有,12980000,113259,坡道平面,27.22,2200000,,RPSOMLPLPHIGFBB18DA,57.88,0.0,5.48,有,
太平區,房地(土地+建物)+車位,臺中市太平區建和路一段２２巷２６號,83.71,住,,,1120324,土地2建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,1011106,254.94,5,2,4,有,有,25500000,100024,坡道平面,0.0,0,,RPRNMLNJPHIGFJB38DA,224.49,0.0,0.0,無,
沙鹿區,土地,六福段151地號,120.5,住,,,1120325,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5212350,43256,,0.0,0,,RPPNMLNJQHIGFFB87DA,0.0,0.0,0.0,無,03294
北屯區,土地,洲際段654地號,634.17,,,,1120324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,104500000,164782,,0.0,0,,RPPPMLOLLHIGFBB47DA,0.0,0.0,0.0,無,
北區,房地(土地+建物)+車位,臺中市北區文心路四段１８２號８樓之１,9.05,住,,,1120324,土地1建物1車位1,八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0841208,131.81,5,2,3,有,有,10000000,75867,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLTKNHIGFBB08DA,82.11,2.7,10.11,有,
沙鹿區,房地(土地+建物),臺中市沙鹿區臺灣大道六段９２６巷２２弄９０號,87.36,住,,,1120308,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1011128,248.29000000000002,8,0,8,有,有,12180000,49056,,0.0,0,其他增建；,RPRNMLRJQHIGFFB48DA,196.05,0.0,23.94,無,
南區,房地(土地+建物)+車位,臺中市南區復興北路３６１號十一樓之一,12.95,,,,1120331,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890518,148.1,3,2,2,有,有,10800000,72924,坡道機械,13.32,0,親友、員工、共有人或其他特殊關係間之交易；,RPSPMLTJQHIGFAB48DA,97.53,0.0,6.94,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區敦富一街２０２號七樓之１,16.98,住,,,1120310,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091030,108.58,2,2,1,有,有,12400000,114202,坡道平面,23.91,0,其他增建；,RPOQMLSLPHIGFBB28DA,48.18,2.75,5.85,有,
外埔區,土地,下土城段1128地號,1511.7,,特定農業區,農牧用地,1120319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2464788,1630,,0.0,0,,RPPNMLRKQHIGFEB28DA,0.0,0.0,0.0,無,
太平區,房地(土地+建物),臺中市太平區新平路三段１５８巷２０號,70.7,住,,,1120321,土地2建物1車位0,全,五層,透天厝,其他,鋼筋混凝土造,0921030,205.76,5,3,4,有,無,15350000,74601,,0.0,0,,RPRNMLPKQHIGFJB78DA,164.4,0.0,41.36,無,03295
外埔區,土地,下土城段1131地號,383.37,,特定農業區,農牧用地,1120319,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,625075,1630,,0.0,0,,RPRNMLRKQHIGFEB48DA,0.0,0.0,0.0,無,
西屯區,房地(土地+建物)+車位,臺中市西屯區惠中路一段１００號十一樓之１,28.28,都市：其他:第六種新市政中心專用區,,,1120307,土地1建物1車位2,十一層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1090107,465.27,0,0,1,有,有,85300000,195673,坡道平面,49.78,4000000,毛胚屋；,RPQNMLTJQHIGFCB28DA,233.19,0.0,27.95,有,
大里區,房地(土地+建物)+車位,臺中市大里區中湖路１５０巷８號七樓,14.07,住,,,1120314,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0960607,107.38999999999999,2,2,1,有,有,7000000,61000,坡道機械,9.03,1000000,陽台外推；,RPPNMLOKLHIGFIB87DA,60.9,1.76,5.8,有,
